teams,def_coef
Arsenal,-1.0078140425349564
Aston Villa,-0.9295944451489389
Bournemouth,-0.5932049621682292
Brentford,-0.9588372474434802
Brighton,-0.8580577686355296
Burnley,-0.7457693974835881
Chelsea,-1.0859763594304346
Crystal Palace,-0.935441318229656
Everton,-0.7949559261662652
Fulham,-0.8505961720788249
Liverpool,-1.2266389936220123
Luton Town,-0.5410212728666813
Manchester City,-1.343865927089721
Manchester Utd,-0.9394641433822885
Newcastle Utd,-0.9743619949502532
Nott'ham Forest,-0.6709601668221833
Sheffield Utd,-0.27486714039495463
Tottenham,-0.9309146327164246
West Ham,-0.8300777507547885
Wolves,-0.9409228511696294
