teams,def_coef
Arsenal,-1.1966406213338086
Aston Villa,-1.0761621803955113
Bournemouth,-0.5875866959560463
Brentford,-0.9232144685213385
Brighton,-0.7194187732670354
Burnley,-0.6065255824302553
Chelsea,-0.797639543782069
Crystal Palace,-0.8539208315751958
Everton,-0.934529192912043
Fulham,-0.7519755688761115
Liverpool,-1.2390968587054174
Luton Town,-0.6079631388533568
Manchester City,-1.1140813277022523
Manchester Utd,-1.0329679132487082
Newcastle Utd,-1.0448287123167366
Nott'ham Forest,-0.5866576293747623
Sheffield Utd,-0.36485418311851353
Tottenham,-0.7952468867056092
West Ham,-0.7018183662285257
Wolves,-0.7458860172530339
