teams,def_coef
Arsenal,-0.9550633320534638
Aston Villa,-0.20636696578584884
Bournemouth,-0.1533662682224029
Brentford,-0.16321861799355397
Brighton,-0.34317060032988256
Burnley,0.033236057763320156
Chelsea,-0.3055607410503719
Crystal Palace,-0.3781748148555424
Everton,-0.3725562578074748
Fulham,-0.2574528221118517
Liverpool,-0.5280887118445328
Luton Town,-0.05601420969406304
Manchester City,-0.8854309931082529
Manchester Utd,-0.10247863200022544
Newcastle Utd,-0.11952707429079196
Nott'ham Forest,0.06729505029778585
Sheffield Utd,0.19803312994579514
Tottenham,-0.09175021029641778
West Ham,0.03689090068174544
Wolves,-0.004604778202077624
