teams,def_coef
Arsenal,-0.9920148204540329
Aston Villa,-0.9133300958388717
Bournemouth,-0.5989480564006986
Brentford,-0.9714574945688501
Brighton,-0.8821899115041828
Burnley,-0.8488110969120494
Chelsea,-1.2040612485523727
Crystal Palace,-1.0029867816327376
Everton,-0.7622082157251884
Fulham,-0.8888291635809136
Liverpool,-1.2239022313729007
Luton Town,-0.4512273581037078
Manchester City,-1.4271885548948677
Manchester Utd,-0.9363197745878159
Newcastle Utd,-1.0301561788530473
Nott'ham Forest,-0.7169759625161306
Sheffield Utd,-0.2330233506775889
Tottenham,-0.9748624988841667
West Ham,-0.9164951891346472
Wolves,-0.9772184433964702
