teams,def_coef
Arsenal,-1.1104727135170085
Aston Villa,-1.0356636428018733
Bournemouth,-0.5018155733231421
Brentford,-1.0036906798680918
Brighton,-0.6629042574770956
Burnley,-0.31780717159320204
Chelsea,-0.9621979269768564
Crystal Palace,-0.9272805238301652
Everton,-0.9051781519820479
Fulham,-0.8440908997264194
Liverpool,-1.2844968456204204
Luton Town,-0.50881908746311
Manchester City,-1.5550857167219139
Manchester Utd,-0.8252779821858218
Newcastle Utd,-1.154287601946772
Nott'ham Forest,-0.7491368268569788
Sheffield Utd,-0.13178536118246947
Tottenham,-0.9466237350086595
West Ham,-0.7141880770779502
Wolves,-0.7687301957507167
