Home,Away,Odds_1,Odds_X,Odds_2
Nottingham,Brentford,2.67,3.19,2.89
Tottenham,Liverpool,3.00,3.93,2.25
Bournemouth,Arsenal,6.07,4.59,1.54
Everton,Luton,1.65,3.87,5.80
Manchester Utd,Crystal Palace,1.58,4.27,6.04
Newcastle,Burnley,1.39,5.20,8.30
West Ham,Sheffield Utd,1.45,4.82,7.41
Wolves,Manchester City,8.38,5.17,1.39
Luton,West Ham,4.68,4.06,1.74
Newcastle,Liverpool,2.23,3.81,3.04
Burnley,Aston Villa,3.22,3.54,2.25
Sheffield Utd,Manchester City,14.33,7.10,1.21
Brighton,West Ham,1.51,4.82,5.86
Arsenal,Fulham,1.28,5.99,10.58
Brentford,Crystal Palace,2.15,3.35,3.69
Everton,Wolves,2.43,3.35,3.05
Manchester Utd,Nottingham,1.36,5.23,8.18
Bournemouth,Tottenham,3.53,3.86,2.02
Chelsea,Luton,1.27,6.13,11.92
Crystal Palace,Arsenal,4.58,3.55,1.88
West Ham,Chelsea,3.42,3.61,2.14
Aston Villa,Everton,1.85,3.80,4.23
Manchester City,Newcastle,1.84,3.80,4.32
Tottenham,Manchester Utd,3.11,3.77,2.19
Fulham,Brentford,2.86,3.21,2.65
Liverpool,Bournemouth,1.20,7.60,13.17
Wolves,Brighton,4.25,4.06,1.79
Nottingham,Sheffield Utd,1.96,3.44,4.25
