teams,def_coef
Arsenal,-1.0116966879656164
Aston Villa,-0.8593018244315586
Bournemouth,-0.564977459411591
Brentford,-0.8436690833868705
Brighton,-0.8276758740688918
Burnley,-0.6533153759745378
Chelsea,-0.9991043597810192
Crystal Palace,-0.8379890724566036
Everton,-0.7820830174170551
Fulham,-0.7857650119578279
Liverpool,-1.183824591792219
Luton Town,-0.4630070954118401
Manchester City,-1.2997337625339103
Manchester Utd,-0.8898706635533202
Newcastle Utd,-0.8493533120057324
Nott'ham Forest,-0.6064846324472073
Sheffield Utd,-0.2649719264554607
Tottenham,-0.8537880138135068
West Ham,-0.7842834431953143
Wolves,-0.888750408138861
