teams,def_coef
Arsenal,-1.3135437499302096
Aston Villa,-0.9765278648367921
Bournemouth,-0.5023676689352865
Brentford,-0.9407453493198485
Brighton,-0.6506247628872539
Burnley,-0.3462380642740022
Chelsea,-0.7360181183490679
Crystal Palace,-0.7287905603323835
Everton,-0.7200909349483705
Fulham,-0.7954897564399902
Liverpool,-1.3890498917268506
Luton Town,-0.6393017030745252
Manchester City,-1.1683498739537301
Manchester Utd,-1.0175050351847164
Newcastle Utd,-1.140515611871874
Nott'ham Forest,-0.7190192990937674
Sheffield Utd,-0.22392018923894824
Tottenham,-0.7022076820706447
West Ham,-0.6041070636093331
Wolves,-0.7333057140553686
