teams,att_coef
Arsenal,1.4464534411586238
Aston Villa,1.1955163796853685
Bournemouth,0.6089788413102719
Brentford,1.0758976396814215
Brighton,1.2587559897425258
Burnley,0.660251971475134
Chelsea,1.0002107448567432
Crystal Palace,0.800255071094161
Everton,0.7094500585616356
Fulham,0.9317743285014406
Liverpool,1.5052490924559705
Luton Town,0.6696223348651259
Manchester City,1.6175557318331961
Manchester Utd,1.1397814801587505
Newcastle Utd,1.27567811702786
Nott'ham Forest,0.7139211577615828
Sheffield Utd,0.4559970392749141
Tottenham,1.277127468683716
West Ham,1.0176206229275602
Wolves,0.639902488943998
