teams,att_coef
Arsenal,0.9781851416002876
Aston Villa,0.7066937891215039
Bournemouth,0.4569208042056
Brentford,0.4204107383103589
Brighton,0.31756680979173824
Burnley,0.44949020092359815
Chelsea,0.8784122873861611
Crystal Palace,0.338562455792748
Everton,0.17603507694785764
Fulham,0.31294991995241994
Liverpool,0.08953541860529857
Luton Town,0.3459523617668214
Manchester City,0.9712803561079062
Manchester Utd,0.6789961951357142
Newcastle Utd,0.9330693290973282
Nott'ham Forest,0.32780277091409527
Sheffield Utd,-0.004734463168837221
Tottenham,0.25444110404013104
West Ham,0.36937075630727023
Wolves,0.03905007003350633
