teams,def_coef
Arsenal,-1.1826515305660437
Aston Villa,-0.823443290899091
Bournemouth,-0.558931263156761
Brentford,-0.6216902928097754
Brighton,-0.6817273496720224
Burnley,-0.3893440806025925
Chelsea,-0.6327201362107748
Crystal Palace,-0.5589421759349965
Everton,-0.8827090465966427
Fulham,-0.6951306721665521
Liverpool,-1.094898671336508
Luton Town,-0.3896879666475933
Manchester City,-1.1383387547129402
Manchester Utd,-0.8350617113911665
Newcastle Utd,-0.5858980449793247
Nott'ham Forest,-0.5159320116198572
Sheffield Utd,-0.2093378365484082
Tottenham,-0.5906255143728785
West Ham,-0.5469441851951673
Wolves,-0.7119696752638283
