teams,def_coef
Arsenal,-1.050976393284201
Aston Villa,-0.9962850030456164
Bournemouth,-0.6020754522295008
Brentford,-0.9462366375839997
Brighton,-0.9443190746831119
Chelsea,-1.0756772946148174
Crystal Palace,-0.9844727572115025
Everton,-0.8084462047203984
Fulham,-0.942746948533872
Leeds United,-0.5463001561642855
Leicester City,-0.6598171847970105
Liverpool,-1.0291213977395526
Manchester City,-1.2640223233578782
Manchester Utd,-1.0698532927893127
Newcastle Utd,-1.3986971879690766
Nott'ham Forest,-0.654654394754525
Southampton,-0.6726669142520835
Tottenham,-0.7148111392657287
West Ham,-0.8397777354848528
Wolves,-0.8696509478079475
