teams,def_coef
Arsenal,-0.9977992782814977
Aston Villa,-1.0236576377927866
Bournemouth,-0.608199677493292
Brentford,-0.9653858314829254
Brighton,-0.9264232187315511
Chelsea,-1.0639012525051226
Crystal Palace,-0.9783981414810481
Everton,-0.7698894691543404
Fulham,-0.9553741380990702
Leeds United,-0.5164947156366547
Leicester City,-0.6599467511798821
Liverpool,-1.0254058125889003
Manchester City,-1.2774673196307824
Manchester Utd,-1.0799544822080336
Newcastle Utd,-1.3545234613631825
Nott'ham Forest,-0.6513337907707368
Southampton,-0.6638942415299577
Tottenham,-0.677851681501688
West Ham,-0.8086374005025561
Wolves,-0.8583052155661962
