teams,def_coef
Arsenal,-1.0367759621133297
Aston Villa,-1.0073947428434444
Bournemouth,-0.585695655400472
Brentford,-0.9675937982894459
Brighton,-0.8611661272070729
Chelsea,-0.9992826944285762
Crystal Palace,-0.966301902670849
Everton,-0.7968005979717125
Fulham,-0.8738934686701374
Leeds United,-0.5129153468571525
Leicester City,-0.617370142493489
Liverpool,-1.039056860921237
Manchester City,-1.2966705543033634
Manchester Utd,-1.0785258872449126
Newcastle Utd,-1.341753292148267
Nott'ham Forest,-0.6262822782521084
Southampton,-0.5957696432955356
Tottenham,-0.669118160885431
West Ham,-0.8441650472818569
Wolves,-0.8435012083762389
