teams,def_coef
Arsenal,-1.0551806823516996
Aston Villa,-0.8079298306335463
Bournemouth,-0.49150837571063405
Brentford,-0.7373326229421864
Brighton,-0.7891714803231786
Burnley,-0.6432105925137188
Chelsea,-0.9083066713440153
Crystal Palace,-0.7493343660245652
Everton,-0.682343711411261
Fulham,-0.7539403274892154
Liverpool,-1.0735038053745083
Luton Town,-0.353890136584601
Manchester City,-1.289846199550995
Manchester Utd,-0.756620898503788
Newcastle Utd,-0.7777270324652894
Nott'ham Forest,-0.5512364407020398
Sheffield Utd,-0.19023524353003526
Tottenham,-0.7596966019070266
West Ham,-0.6681788067377513
Wolves,-0.7879725626631122
