teams,def_coef
Arsenal,-1.0359184088407933
Aston Villa,-1.0064104013879884
Bournemouth,-0.5858425968696053
Brentford,-0.9665544541921897
Brighton,-0.8374261222267537
Chelsea,-1.0576942250294217
Crystal Palace,-0.96586571378439
Everton,-0.797240356918697
Fulham,-0.8755184983366471
Leeds United,-0.5119039368811751
Leicester City,-0.5766438669022796
Liverpool,-1.039414664032051
Manchester City,-1.284001914806224
Manchester Utd,-1.0887627770036106
Newcastle Utd,-1.315323629385718
Nott'ham Forest,-0.6265917376243151
Southampton,-0.5953432228444088
Tottenham,-0.6690938545771017
West Ham,-0.8455617000193906
Wolves,-0.8434374040427028
