teams,def_coef
Arsenal,-0.2800860695652067
Aston Villa,-0.14392130886628118
Bournemouth,0.2386211383942447
Brentford,-0.10124518449527287
Brighton,-0.01700156846456939
Burnley,-0.05268428800757637
Chelsea,-0.23712075795946014
Crystal Palace,-0.15038183183481732
Everton,0.10343367927196204
Fulham,-0.359310351173602
Liverpool,-0.4922007247817185
Luton Town,-0.1679673879436025
Manchester City,-0.006216952431722666
Manchester Utd,-0.15457372046711393
Newcastle Utd,-0.36057509669237103
Nott'ham Forest,0.16560673389086014
Sheffield Utd,0.1591061048761206
Tottenham,-0.16524104233001788
West Ham,-0.21865460127775987
Wolves,-0.07164938893923717
