teams,att_coef
Arsenal,0.7854078218218543
Aston Villa,0.3592965165159644
Bournemouth,-0.13986967673727824
Brentford,0.38103206812855794
Brighton,0.6969126548768094
Burnley,-0.3920579838144602
Chelsea,0.28121531149544987
Crystal Palace,-0.010503159263823954
Everton,0.050594875788513405
Fulham,0.08478374836112251
Liverpool,0.00022731730624199215
Luton Town,0.6100373667390318
Manchester City,0.9095981950035628
Manchester Utd,0.37708596610753786
Newcastle Utd,0.7478225298810612
Nott'ham Forest,0.2633583965246681
Sheffield Utd,-1.8230502242179139
Tottenham,0.5265164807077478
West Ham,0.13922201013631919
Wolves,0.20029795345764323
