teams,def_coef
Arsenal,-1.1035017971023597
Aston Villa,-1.02494903543342
Bournemouth,-0.7309786123311584
Brentford,-1.1139723290330512
Brighton,-1.0769784910526898
Burnley,-1.0672573715772002
Chelsea,-1.3381822558593153
Crystal Palace,-1.1105254009749135
Everton,-0.9105884695937662
Fulham,-1.0592766333939883
Liverpool,-1.3606262346971831
Luton Town,-0.23449471032363814
Manchester City,-1.5742338443599613
Manchester Utd,-1.089209896512832
Newcastle Utd,-1.125811432823399
Nott'ham Forest,-0.815382485016587
Sheffield Utd,-0.9753975166807906
Tottenham,-1.0904862928978123
West Ham,-1.0433559517652506
Wolves,-1.1474444840458082
