teams,att_coef
Arsenal,1.5594369152319116
Aston Villa,1.1969139249614749
Bournemouth,0.7384345276330807
Brentford,1.1853017653635134
Brighton,1.3162870074784
Burnley,0.7942555988422473
Chelsea,1.1375993393792068
Crystal Palace,0.975264751792066
Everton,0.8317022017401103
Fulham,1.137642876618167
Liverpool,1.6183523046768584
Luton Town,1.0735325138526963
Manchester City,1.7723793810787019
Manchester Utd,1.3154569759282941
Newcastle Utd,1.3373852705811204
Nott'ham Forest,0.8480227572551665
Sheffield Utd,-2.0
Tottenham,1.3787968891013314
West Ham,1.108910323868017
Wolves,0.6743246746176375
