Home,Hscore,Ascore,Away,date
Manchester Utd,2,1,Leicester City,2018-08-10
Newcastle Utd,1,2,Tottenham,2018-08-11
Fulham,0,2,Crystal Palace,2018-08-11
Bournemouth,2,0,Cardiff City,2018-08-11
Watford,2,0,Brighton,2018-08-11
Huddersfield,0,3,Chelsea,2018-08-11
Wolves,2,2,Everton,2018-08-11
Southampton,0,0,Burnley,2018-08-12
Liverpool,4,0,West Ham,2018-08-12
Arsenal,0,2,Manchester City,2018-08-12
Cardiff City,0,0,Newcastle Utd,2018-08-18
West Ham,1,2,Bournemouth,2018-08-18
Everton,2,1,Southampton,2018-08-18
Leicester City,2,0,Wolves,2018-08-18
Tottenham,3,1,Fulham,2018-08-18
Chelsea,3,2,Arsenal,2018-08-18
Burnley,1,3,Watford,2018-08-19
Manchester City,6,1,Huddersfield,2018-08-19
Brighton,3,2,Manchester Utd,2018-08-19
Crystal Palace,0,2,Liverpool,2018-08-20
Wolves,1,1,Manchester City,2018-08-25
Arsenal,3,1,West Ham,2018-08-25
Southampton,1,2,Leicester City,2018-08-25
Huddersfield,0,0,Cardiff City,2018-08-25
Bournemouth,2,2,Everton,2018-08-25
Liverpool,1,0,Brighton,2018-08-25
Watford,2,1,Crystal Palace,2018-08-26
Fulham,4,2,Burnley,2018-08-26
Newcastle Utd,1,2,Chelsea,2018-08-26
Manchester Utd,0,3,Tottenham,2018-08-27
Leicester City,1,2,Liverpool,2018-09-01
Crystal Palace,0,2,Southampton,2018-09-01
Brighton,2,2,Fulham,2018-09-01
Chelsea,2,0,Bournemouth,2018-09-01
Everton,1,1,Huddersfield,2018-09-01
West Ham,0,1,Wolves,2018-09-01
Manchester City,2,1,Newcastle Utd,2018-09-01
Cardiff City,2,3,Arsenal,2018-09-02
Watford,2,1,Tottenham,2018-09-02
Burnley,0,2,Manchester Utd,2018-09-02
Tottenham,1,2,Liverpool,2018-09-15
Manchester City,3,0,Fulham,2018-09-15
Huddersfield,0,1,Crystal Palace,2018-09-15
Newcastle Utd,1,2,Arsenal,2018-09-15
Bournemouth,4,2,Leicester City,2018-09-15
Chelsea,4,1,Cardiff City,2018-09-15
Watford,1,2,Manchester Utd,2018-09-15
Wolves,1,0,Burnley,2018-09-16
Everton,1,3,West Ham,2018-09-16
Southampton,2,2,Brighton,2018-09-17
Fulham,1,1,Watford,2018-09-22
Crystal Palace,0,0,Newcastle Utd,2018-09-22
Cardiff City,0,5,Manchester City,2018-09-22
Liverpool,3,0,Southampton,2018-09-22
