Home,Hscore,Ascore,Away,date
Sunderland,2,2,Birmingham City,2010-08-14
Aston Villa,3,0,West Ham,2010-08-14
Tottenham,0,0,Manchester City,2010-08-14
Wolves,2,1,Stoke City,2010-08-14
Bolton,0,0,Fulham,2010-08-14
Wigan Athletic,0,4,Blackpool,2010-08-14
Chelsea,6,0,West Brom,2010-08-14
Blackburn,1,0,Everton,2010-08-14
Liverpool,1,1,Arsenal,2010-08-15
Manchester Utd,3,0,Newcastle Utd,2010-08-16
Birmingham City,2,1,Blackburn,2010-08-21
West Ham,1,3,Bolton,2010-08-21
West Brom,1,0,Sunderland,2010-08-21
Everton,1,1,Wolves,2010-08-21
Arsenal,6,0,Blackpool,2010-08-21
Stoke City,1,2,Tottenham,2010-08-21
Wigan Athletic,0,6,Chelsea,2010-08-21
Newcastle Utd,6,0,Aston Villa,2010-08-22
Fulham,2,2,Manchester Utd,2010-08-22
Manchester City,3,0,Liverpool,2010-08-23
Manchester Utd,3,0,West Ham,2010-08-28
Chelsea,2,0,Stoke City,2010-08-28
Blackburn,1,2,Arsenal,2010-08-28
Tottenham,0,1,Wigan Athletic,2010-08-28
Wolves,1,1,Newcastle Utd,2010-08-28
Blackpool,2,2,Fulham,2010-08-28
Liverpool,1,0,West Brom,2010-08-29
Bolton,2,2,Birmingham City,2010-08-29
Sunderland,1,0,Manchester City,2010-08-29
Aston Villa,1,0,Everton,2010-08-29
Everton,3,3,Manchester Utd,2010-09-11
Newcastle Utd,0,2,Blackpool,2010-09-11
Fulham,2,1,Wolves,2010-09-11
Wigan Athletic,1,1,Sunderland,2010-09-11
Arsenal,4,1,Bolton,2010-09-11
West Ham,1,3,Chelsea,2010-09-11
West Brom,1,1,Tottenham,2010-09-11
Manchester City,1,1,Blackburn,2010-09-11
Birmingham City,0,0,Liverpool,2010-09-12
Stoke City,2,1,Aston Villa,2010-09-13
Stoke City,1,1,West Ham,2010-09-18
West Brom,3,1,Birmingham City,2010-09-18
Everton,0,1,Newcastle Utd,2010-09-18
Sunderland,1,1,Arsenal,2010-09-18
Blackburn,1,1,Fulham,2010-09-18
Aston Villa,1,1,Bolton,2010-09-18
Tottenham,3,1,Wolves,2010-09-18
Chelsea,4,0,Blackpool,2010-09-19
Wigan Athletic,0,2,Manchester City,2010-09-19
Manchester Utd,3,2,Liverpool,2010-09-19
Fulham,0,0,Everton,2010-09-25
Blackpool,1,2,Blackburn,2010-09-25
Arsenal,2,3,West Brom,2010-09-25
Liverpool,2,2,Sunderland,2010-09-25
West Ham,1,0,Tottenham,2010-09-25
Manchester City,1,0,Chelsea,2010-09-25
Birmingham City,0,0,Wigan Athletic,2010-09-25
Bolton,2,2,Manchester Utd,2010-09-26
Newcastle Utd,1,2,Stoke City,2010-09-26
Wolves,1,2,Aston Villa,2010-09-26
West Brom,1,1,Bolton,2010-10-02
West Ham,1,1,Fulham,2010-10-02
Wigan Athletic,2,0,Wolves,2010-10-02
Tottenham,2,1,Aston Villa,2010-10-02
Stoke City,1,0,Blackburn,2010-10-02
Sunderland,0,0,Manchester Utd,2010-10-02
Birmingham City,0,2,Everton,2010-10-02
Liverpool,1,2,Blackpool,2010-10-03
Chelsea,2,0,Arsenal,2010-10-03
Manchester City,2,1,Newcastle Utd,2010-10-03
Aston Villa,0,0,Chelsea,2010-10-16
Arsenal,2,1,Birmingham City,2010-10-16
Wolves,1,1,West Ham,2010-10-16
Fulham,1,2,Tottenham,2010-10-16
Newcastle Utd,2,2,Wigan Athletic,2010-10-16
Bolton,2,1,Stoke City,2010-10-16
Manchester Utd,2,2,West Brom,2010-10-16
Everton,2,0,Liverpool,2010-10-17
Blackpool,2,3,Manchester City,2010-10-17
Blackburn,0,0,Sunderland,2010-10-18
Sunderland,1,0,Aston Villa,2010-10-23
Tottenham,1,1,Everton,2010-10-23
Birmingham City,2,0,Blackpool,2010-10-23
Wigan Athletic,1,1,Bolton,2010-10-23
West Brom,2,1,Fulham,2010-10-23
West Ham,1,2,Newcastle Utd,2010-10-23
Chelsea,2,0,Wolves,2010-10-23
Manchester City,0,3,Arsenal,2010-10-24
Liverpool,2,1,Blackburn,2010-10-24
Stoke City,1,2,Manchester Utd,2010-10-24
Blackburn,1,2,Chelsea,2010-10-30
Manchester Utd,2,0,Tottenham,2010-10-30
Arsenal,1,0,West Ham,2010-10-30
Wolves,2,1,Manchester City,2010-10-30
Fulham,2,0,Wigan Athletic,2010-10-30
Everton,1,0,Stoke City,2010-10-30
Aston Villa,0,0,Birmingham City,2010-10-31
Newcastle Utd,5,1,Sunderland,2010-10-31
Bolton,0,1,Liverpool,2010-10-31
Blackpool,2,1,West Brom,2010-11-01
Sunderland,2,0,Stoke City,2010-11-06
Birmingham City,2,2,West Ham,2010-11-06
Manchester Utd,2,1,Wolves,2010-11-06
Bolton,4,2,Tottenham,2010-11-06
Fulham,1,1,Aston Villa,2010-11-06
Blackburn,2,1,Wigan Athletic,2010-11-06
Blackpool,2,2,Everton,2010-11-06
Arsenal,0,1,Newcastle Utd,2010-11-07
West Brom,0,2,Manchester City,2010-11-07
Liverpool,2,0,Chelsea,2010-11-07
Stoke City,3,2,Birmingham City,2010-11-09
Tottenham,1,1,Sunderland,2010-11-09
Chelsea,1,0,Fulham,2010-11-10
Manchester City,0,0,Manchester Utd,2010-11-10
Wolves,0,2,Arsenal,2010-11-10
Aston Villa,3,2,Blackpool,2010-11-10
Wigan Athletic,1,1,Liverpool,2010-11-10
West Ham,2,2,West Brom,2010-11-10
Everton,1,1,Bolton,2010-11-10
Newcastle Utd,1,2,Blackburn,2010-11-10
Wigan Athletic,1,0,West Brom,2010-11-13
Manchester City,0,0,Birmingham City,2010-11-13
Newcastle Utd,0,0,Fulham,2010-11-13
Wolves,2,3,Bolton,2010-11-13
Aston Villa,2,2,Manchester Utd,2010-11-13
West Ham,0,0,Blackpool,2010-11-13
Stoke City,2,0,Liverpool,2010-11-13
Tottenham,4,2,Blackburn,2010-11-13
Everton,1,2,Arsenal,2010-11-14
Chelsea,0,3,Sunderland,2010-11-14
Blackpool,2,1,Wolves,2010-11-20
Manchester Utd,2,0,Wigan Athletic,2010-11-20
Arsenal,2,3,Tottenham,2010-11-20
Liverpool,3,0,West Ham,2010-11-20
Bolton,5,1,Newcastle Utd,2010-11-20
West Brom,0,3,Stoke City,2010-11-20
Birmingham City,1,0,Chelsea,2010-11-20
Fulham,1,4,Manchester City,2010-11-21
Blackburn,2,0,Aston Villa,2010-11-21
Sunderland,2,2,Everton,2010-11-22
Bolton,2,2,Blackpool,2010-11-27
Everton,1,4,West Brom,2010-11-27
Stoke City,1,1,Manchester City,2010-11-27
Aston Villa,2,4,Arsenal,2010-11-27
