Home,Hscore,Ascore,Away,date
Liverpool,4,1,Norwich City,2019-08-09
West Ham,0,5,Manchester City,2019-08-10
Burnley,3,0,Southampton,2019-08-10
Watford,0,3,Brighton,2019-08-10
Crystal Palace,0,0,Everton,2019-08-10
Bournemouth,1,1,Sheffield Utd,2019-08-10
Tottenham,3,1,Aston Villa,2019-08-10
Newcastle Utd,0,1,Arsenal,2019-08-11
Leicester City,0,0,Wolves,2019-08-11
Manchester Utd,4,0,Chelsea,2019-08-11
Arsenal,2,1,Burnley,2019-08-17
Norwich City,3,1,Newcastle Utd,2019-08-17
Aston Villa,1,2,Bournemouth,2019-08-17
Brighton,1,1,West Ham,2019-08-17
Southampton,1,2,Liverpool,2019-08-17
Everton,1,0,Watford,2019-08-17
Manchester City,2,2,Tottenham,2019-08-17
Sheffield Utd,1,0,Crystal Palace,2019-08-18
Chelsea,1,1,Leicester City,2019-08-18
Wolves,1,1,Manchester Utd,2019-08-19
Aston Villa,2,0,Everton,2019-08-23
Norwich City,2,3,Chelsea,2019-08-24
Sheffield Utd,1,2,Leicester City,2019-08-24
Manchester Utd,1,2,Crystal Palace,2019-08-24
Watford,1,3,West Ham,2019-08-24
Brighton,0,2,Southampton,2019-08-24
Liverpool,3,1,Arsenal,2019-08-24
Bournemouth,1,3,Manchester City,2019-08-25
Wolves,1,1,Burnley,2019-08-25
Tottenham,0,1,Newcastle Utd,2019-08-25
Southampton,1,1,Manchester Utd,2019-08-31
West Ham,2,0,Norwich City,2019-08-31
Crystal Palace,1,0,Aston Villa,2019-08-31
Leicester City,3,1,Bournemouth,2019-08-31
Chelsea,2,2,Sheffield Utd,2019-08-31
Newcastle Utd,1,1,Watford,2019-08-31
Manchester City,4,0,Brighton,2019-08-31
Burnley,0,3,Liverpool,2019-08-31
Everton,3,2,Wolves,2019-09-01
Arsenal,2,2,Tottenham,2019-09-01
Liverpool,3,1,Newcastle Utd,2019-09-14
Wolves,2,5,Chelsea,2019-09-14
Brighton,1,1,Burnley,2019-09-14
Tottenham,4,0,Crystal Palace,2019-09-14
Manchester Utd,1,0,Leicester City,2019-09-14
Sheffield Utd,0,1,Southampton,2019-09-14
Norwich City,3,2,Manchester City,2019-09-14
Bournemouth,3,1,Everton,2019-09-15
Watford,2,2,Arsenal,2019-09-15
Aston Villa,0,0,West Ham,2019-09-16
Southampton,1,3,Bournemouth,2019-09-20
Leicester City,2,1,Tottenham,2019-09-21
Manchester City,8,0,Watford,2019-09-21
Everton,0,2,Sheffield Utd,2019-09-21
Burnley,2,0,Norwich City,2019-09-21
Newcastle Utd,0,0,Brighton,2019-09-21
Crystal Palace,1,1,Wolves,2019-09-22
West Ham,2,0,Manchester Utd,2019-09-22
Chelsea,1,2,Liverpool,2019-09-22
Arsenal,3,2,Aston Villa,2019-09-22
Sheffield Utd,0,1,Liverpool,2019-09-28
Chelsea,2,0,Brighton,2019-09-28
Tottenham,2,1,Southampton,2019-09-28
Aston Villa,2,2,Burnley,2019-09-28
Crystal Palace,2,0,Norwich City,2019-09-28
Wolves,2,0,Watford,2019-09-28
Bournemouth,2,2,West Ham,2019-09-28
Everton,1,3,Manchester City,2019-09-28
Leicester City,5,0,Newcastle Utd,2019-09-29
Manchester Utd,1,1,Arsenal,2019-09-30
Brighton,3,0,Tottenham,2019-10-05
Watford,0,0,Sheffield Utd,2019-10-05
Burnley,1,0,Everton,2019-10-05
Liverpool,2,1,Leicester City,2019-10-05
Norwich City,1,5,Aston Villa,2019-10-05
West Ham,1,2,Crystal Palace,2019-10-05
Manchester City,0,2,Wolves,2019-10-06
Southampton,1,4,Chelsea,2019-10-06
Arsenal,1,0,Bournemouth,2019-10-06
Newcastle Utd,1,0,Manchester Utd,2019-10-06
Everton,2,0,West Ham,2019-10-19
Aston Villa,2,1,Brighton,2019-10-19
Leicester City,2,1,Burnley,2019-10-19
Tottenham,1,1,Watford,2019-10-19
Wolves,1,1,Southampton,2019-10-19
Chelsea,1,0,Newcastle Utd,2019-10-19
Bournemouth,0,0,Norwich City,2019-10-19
Crystal Palace,0,2,Manchester City,2019-10-19
