Home,Hscore,Ascore,Away,date
Brentford,2,0,Arsenal,2021-08-13
Manchester Utd,5,1,Leeds United,2021-08-14
Leicester City,1,0,Wolves,2021-08-14
Burnley,1,2,Brighton,2021-08-14
Chelsea,3,0,Crystal Palace,2021-08-14
Watford,3,2,Aston Villa,2021-08-14
Everton,3,1,Southampton,2021-08-14
Norwich City,0,3,Liverpool,2021-08-14
Newcastle Utd,2,4,West Ham,2021-08-15
Tottenham,1,0,Manchester City,2021-08-15
Liverpool,2,0,Burnley,2021-08-21
Aston Villa,2,0,Newcastle Utd,2021-08-21
Manchester City,5,0,Norwich City,2021-08-21
Leeds United,2,2,Everton,2021-08-21
Crystal Palace,0,0,Brentford,2021-08-21
Brighton,2,0,Watford,2021-08-21
Wolves,0,1,Tottenham,2021-08-22
Southampton,1,1,Manchester Utd,2021-08-22
Arsenal,0,2,Chelsea,2021-08-22
West Ham,4,1,Leicester City,2021-08-23
Manchester City,5,0,Arsenal,2021-08-28
Norwich City,1,2,Leicester City,2021-08-28
West Ham,2,2,Crystal Palace,2021-08-28
Aston Villa,1,1,Brentford,2021-08-28
Newcastle Utd,2,2,Southampton,2021-08-28
Brighton,0,2,Everton,2021-08-28
Liverpool,1,1,Chelsea,2021-08-28
Burnley,1,1,Leeds United,2021-08-29
Tottenham,1,0,Watford,2021-08-29
Wolves,0,1,Manchester Utd,2021-08-29
Crystal Palace,3,0,Tottenham,2021-09-11
Watford,0,2,Wolves,2021-09-11
Brentford,0,1,Brighton,2021-09-11
Arsenal,1,0,Norwich City,2021-09-11
Manchester Utd,4,1,Newcastle Utd,2021-09-11
Leicester City,0,1,Manchester City,2021-09-11
Southampton,0,0,West Ham,2021-09-11
Chelsea,3,0,Aston Villa,2021-09-11
Leeds United,0,3,Liverpool,2021-09-12
Everton,3,1,Burnley,2021-09-13
Newcastle Utd,1,1,Leeds United,2021-09-17
Wolves,0,2,Brentford,2021-09-18
Manchester City,0,0,Southampton,2021-09-18
Liverpool,3,0,Crystal Palace,2021-09-18
Norwich City,1,3,Watford,2021-09-18
Burnley,0,1,Arsenal,2021-09-18
Aston Villa,3,0,Everton,2021-09-18
West Ham,1,2,Manchester Utd,2021-09-19
Brighton,2,1,Leicester City,2021-09-19
Tottenham,0,3,Chelsea,2021-09-19
Manchester Utd,0,1,Aston Villa,2021-09-25
Chelsea,0,1,Manchester City,2021-09-25
Leicester City,2,2,Burnley,2021-09-25
Leeds United,1,2,West Ham,2021-09-25
Watford,1,1,Newcastle Utd,2021-09-25
