Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U,proba_win,proba_draw,proba_lose,proba_O,proba_U
Fulham,1,0,Luton Town,2023-09-16,1.67,3.75,5.5,1.89,2.01,0.2995104395960812,0.23050945670616962,0.46997691239012623,0.6132887620358848,0.6079139357984683
West Ham,1,3,Manchester City,2023-09-16,7.0,4.5,1.45,1.62,2.3,0.17365505148650406,0.2267153412019438,0.599626271076713,0.49850364594812036,0.720673264216341
Aston Villa,3,1,Crystal Palace,2023-09-16,1.91,3.6,4.0,1.89,2.01,0.5013462294620332,0.25607876370433236,0.2425742847936932,0.4631318049945362,0.7514521591626301
Manchester Utd,1,3,Brighton,2023-09-16,2.15,4.0,2.88,1.44,2.75,0.31839183255113207,0.27162513946168054,0.4099828318849606,0.4438374265924317,0.767524471643291
Tottenham,2,1,Sheffield Utd,2023-09-16,1.29,5.5,11.0,1.5,2.63,0.6779443198911419,0.181412285269265,0.14061149781609333,0.6344876837048754,0.5846431664065641
Newcastle Utd,1,0,Brentford,2023-09-16,1.53,4.2,6.0,1.67,2.2,0.5510383469632114,0.22411077277811087,0.22484600119016723,0.578669041636425,0.6441640487714497
Bournemouth,0,0,Chelsea,2023-09-17,4.33,3.75,1.8,1.67,2.2,0.201539262186581,0.2779779432574664,0.5204825513001182,0.35585747267558515,0.8346947769226511
Everton,0,1,Arsenal,2023-09-17,6.0,4.5,1.5,1.67,2.2,0.352719675749539,0.3097161674526037,0.33756413773303945,0.3199792118675644,0.8592862605540382
Nott'ham Forest,1,1,Burnley,2023-09-18,2.2,3.5,3.25,1.92,1.98,0.4241542986176596,0.27492543791797264,0.30092008583887786,0.42615869082116453,0.7818196821178482
Manchester City,2,0,Nott'ham Forest,2023-09-23,1.14,8.5,15.0,1.4,3.0,0.7981295736768129,0.11718341056946528,0.08410556331430835,0.7908259701857988,0.37523768055408246
Luton Town,1,1,Wolves,2023-09-23,3.25,3.4,2.2,2.02,1.88,0.5242689489155108,0.34927789387829633,0.12645314297170207,0.16479529577296054,0.9470596024187244
Crystal Palace,0,0,Fulham,2023-09-23,1.91,3.4,4.2,2.0,1.8,0.5461353457719416,0.2547150644571853,0.19914878300537586,0.4273160236004407,0.7808983528283366
Brentford,1,3,Everton,2023-09-23,1.8,3.8,4.2,1.95,1.95,0.6556013359883511,0.19611741055561496,0.14826646775755964,0.5828306389278304,0.6399202233258419
Burnley,0,1,Manchester Utd,2023-09-23,4.2,4.2,1.73,1.62,2.3,0.4210855120218388,0.2935512748752399,0.28536314673719043,0.35843616870442185,0.832864143719829
Arsenal,2,2,Tottenham,2023-09-24,1.67,4.33,4.33,1.5,2.63,0.5481020259757257,0.21195091199595484,0.23993588112759479,0.6522241154516412,0.5644736323511385
