Home,Hscore,Ascore,Away,date
QPR,0,4,Bolton,2011-08-13
Liverpool,1,1,Sunderland,2011-08-13
Wigan Athletic,1,1,Norwich City,2011-08-13
Fulham,0,0,Aston Villa,2011-08-13
Newcastle Utd,0,0,Arsenal,2011-08-13
Blackburn,1,2,Wolves,2011-08-13
West Brom,1,2,Manchester Utd,2011-08-14
Stoke City,0,0,Chelsea,2011-08-14
Manchester City,4,0,Swansea City,2011-08-15
Swansea City,0,0,Wigan Athletic,2011-08-20
Arsenal,0,2,Liverpool,2011-08-20
Chelsea,2,1,West Brom,2011-08-20
Aston Villa,3,1,Blackburn,2011-08-20
Everton,0,1,QPR,2011-08-20
Sunderland,0,1,Newcastle Utd,2011-08-20
Wolves,2,0,Fulham,2011-08-21
Bolton,2,3,Manchester City,2011-08-21
Norwich City,1,1,Stoke City,2011-08-21
Manchester Utd,3,0,Tottenham,2011-08-22
Aston Villa,0,0,Wolves,2011-08-27
Chelsea,3,1,Norwich City,2011-08-27
Liverpool,3,1,Bolton,2011-08-27
Swansea City,0,0,Sunderland,2011-08-27
Wigan Athletic,2,0,QPR,2011-08-27
Blackburn,0,1,Everton,2011-08-27
West Brom,0,1,Stoke City,2011-08-28
Tottenham,1,5,Manchester City,2011-08-28
Manchester Utd,8,2,Arsenal,2011-08-28
Newcastle Utd,2,1,Fulham,2011-08-28
Sunderland,1,2,Chelsea,2011-09-10
Arsenal,1,0,Swansea City,2011-09-10
Manchester City,3,0,Wigan Athletic,2011-09-10
Bolton,0,5,Manchester Utd,2011-09-10
Stoke City,1,0,Liverpool,2011-09-10
Wolves,0,2,Tottenham,2011-09-10
Everton,2,2,Aston Villa,2011-09-10
Fulham,1,1,Blackburn,2011-09-11
Norwich City,0,1,West Brom,2011-09-11
QPR,0,0,Newcastle Utd,2011-09-12
Aston Villa,1,1,Newcastle Utd,2011-09-17
Wolves,0,3,QPR,2011-09-17
Everton,3,1,Wigan Athletic,2011-09-17
Swansea City,3,0,West Brom,2011-09-17
Bolton,1,2,Norwich City,2011-09-17
Blackburn,4,3,Arsenal,2011-09-17
Fulham,2,2,Manchester City,2011-09-18
Manchester Utd,3,1,Chelsea,2011-09-18
Tottenham,4,0,Liverpool,2011-09-18
Sunderland,4,0,Stoke City,2011-09-18
Stoke City,1,1,Manchester Utd,2011-09-24
Liverpool,2,1,Wolves,2011-09-24
West Brom,0,0,Fulham,2011-09-24
Chelsea,4,1,Swansea City,2011-09-24
Wigan Athletic,1,2,Tottenham,2011-09-24
Newcastle Utd,3,1,Blackburn,2011-09-24
Arsenal,3,0,Bolton,2011-09-24
Manchester City,2,0,Everton,2011-09-24
QPR,1,1,Aston Villa,2011-09-25
Norwich City,2,1,Sunderland,2011-09-26
Wolves,1,2,Newcastle Utd,2011-10-01
Sunderland,2,2,West Brom,2011-10-01
Manchester Utd,2,0,Norwich City,2011-10-01
Blackburn,0,4,Manchester City,2011-10-01
Everton,0,2,Liverpool,2011-10-01
Aston Villa,2,0,Wigan Athletic,2011-10-01
Bolton,1,5,Chelsea,2011-10-02
Tottenham,2,1,Arsenal,2011-10-02
Fulham,6,0,QPR,2011-10-02
Swansea City,2,0,Stoke City,2011-10-02
Wigan Athletic,1,3,Bolton,2011-10-15
Norwich City,3,1,Swansea City,2011-10-15
Stoke City,2,0,Fulham,2011-10-15
Chelsea,3,1,Everton,2011-10-15
QPR,1,1,Blackburn,2011-10-15
Liverpool,1,1,Manchester Utd,2011-10-15
Manchester City,4,1,Aston Villa,2011-10-15
Newcastle Utd,2,2,Tottenham,2011-10-16
Arsenal,2,1,Sunderland,2011-10-16
West Brom,2,0,Wolves,2011-10-16
Liverpool,1,1,Norwich City,2011-10-22
Bolton,0,2,Sunderland,2011-10-22
Newcastle Utd,1,0,Wigan Athletic,2011-10-22
Wolves,2,2,Swansea City,2011-10-22
Aston Villa,1,2,West Brom,2011-10-22
Fulham,1,3,Everton,2011-10-23
QPR,1,0,Chelsea,2011-10-23
Blackburn,1,2,Tottenham,2011-10-23
Arsenal,3,1,Stoke City,2011-10-23
Manchester Utd,1,6,Manchester City,2011-10-23
Manchester City,3,1,Wolves,2011-10-29
West Brom,0,2,Liverpool,2011-10-29
Chelsea,3,5,Arsenal,2011-10-29
Everton,0,1,Manchester Utd,2011-10-29
Sunderland,2,2,Aston Villa,2011-10-29
Swansea City,3,1,Bolton,2011-10-29
Norwich City,3,3,Blackburn,2011-10-29
Wigan Athletic,0,2,Fulham,2011-10-29
Tottenham,3,1,QPR,2011-10-30
Stoke City,1,3,Newcastle Utd,2011-10-31
Aston Villa,3,2,Norwich City,2011-11-05
Blackburn,0,1,Chelsea,2011-11-05
Newcastle Utd,2,1,Everton,2011-11-05
Liverpool,0,0,Swansea City,2011-11-05
QPR,2,3,Manchester City,2011-11-05
Manchester Utd,1,0,Sunderland,2011-11-05
Arsenal,3,0,West Brom,2011-11-05
Fulham,1,3,Tottenham,2011-11-06
Bolton,5,0,Stoke City,2011-11-06
Wolves,3,1,Wigan Athletic,2011-11-06
West Brom,2,1,Bolton,2011-11-19
Wigan Athletic,3,3,Blackburn,2011-11-19
Norwich City,1,2,Arsenal,2011-11-19
Stoke City,2,3,QPR,2011-11-19
Sunderland,0,0,Fulham,2011-11-19
Swansea City,0,1,Manchester Utd,2011-11-19
Everton,2,1,Wolves,2011-11-19
Manchester City,3,1,Newcastle Utd,2011-11-19
Chelsea,1,2,Liverpool,2011-11-20
Tottenham,2,0,Aston Villa,2011-11-21
Norwich City,2,1,QPR,2011-11-26
Manchester Utd,1,1,Newcastle Utd,2011-11-26
Stoke City,3,1,Blackburn,2011-11-26
