Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U,proba_win_0.002,proba_draw_0.002,proba_lose_0.002,proba_O_0.002,proba_U_0.002
Burnley,0,3,Manchester City,2023-08-11,8.0,5.5,1.33,1.67,2.2,0.11034954666559418,0.19181074001801274,0.6978288640875586,0.5142655427270292,0.4857342455565308
Arsenal,2,1,Nott'ham Forest,2023-08-12,1.18,7.0,15.0,1.44,2.75,0.8390676542731903,0.10049183855448181,0.05971692299491081,0.7919935448876089,0.20797031196273225
Everton,0,1,Fulham,2023-08-12,2.2,3.4,3.3,2.01,1.89,0.4018182910670975,0.30484987519056445,0.29333180102354217,0.3275186854992287,0.6724813102137961
Sheffield Utd,0,1,Crystal Palace,2023-08-12,3.0,3.3,2.38,2.2,1.67,0.3965554220172769,0.30091839362707484,0.3025261464489823,0.34108017451894573,0.6589198195658108
Brighton,4,1,Luton Town,2023-08-12,1.33,5.5,9.0,1.62,2.3,0.4508026795639517,0.22602399223077058,0.3231691748955665,0.6488997336744815,0.35109779578599964
Bournemouth,1,1,West Ham,2023-08-12,2.7,3.4,2.55,1.9,2.0,0.23993786509593226,0.26195466399823664,0.4981069520677981,0.4394187721874546,0.5605811782713732
Newcastle Utd,5,1,Aston Villa,2023-08-12,1.75,3.75,4.6,1.73,2.1,0.6009450887566584,0.21887974755538436,0.1801697696122694,0.541528746236017,0.45847090195454493
Brentford,2,2,Tottenham,2023-08-13,2.75,3.4,2.45,1.73,2.1,0.559015788029161,0.22289831342417968,0.21808075184451042,0.5770857479363904,0.422913577217941
Chelsea,1,1,Liverpool,2023-08-13,2.9,3.4,2.38,1.67,2.2,0.36522359852670166,0.3051864546544351,0.32958992173380885,0.33262721360795133,0.6673727815472716
Manchester Utd,1,0,Wolves,2023-08-14,1.33,5.5,9.0,1.62,2.3,0.5609894446721487,0.27024831958592876,0.16876187488552896,0.3466732320108533,0.6533267612504152
Nott'ham Forest,2,1,Sheffield Utd,2023-08-18,1.95,3.4,4.0,2.2,1.67,0.21005768300018457,0.37532602563336764,0.4146162889946265,0.1646820788692704,0.8353179211009103
Fulham,0,3,Brentford,2023-08-19,2.7,3.3,2.63,1.96,1.94,0.43637053364904965,0.2716392517720004,0.2919899854060353,0.4349158163297917,0.5650841384371583
Liverpool,3,1,Bournemouth,2023-08-19,1.2,7.0,13.0,1.33,3.4,0.8829620316573829,0.08292373132965093,0.03351691853488509,0.7349005919799271,0.2650874662263337
Wolves,1,4,Brighton,2023-08-19,4.0,3.8,1.85,1.73,2.1,0.28664956588276097,0.2732420403721132,0.44010817867031765,0.42676474130561265,0.5732352203783313
Tottenham,2,0,Manchester Utd,2023-08-19,2.8,3.6,2.38,1.57,2.38,0.5180953395480082,0.24015274163527414,0.2417500620424166,0.5268981030084944,0.4731016287989025
Manchester City,1,0,Newcastle Utd,2023-08-19,1.67,4.0,5.0,1.73,2.1,0.6478199892323536,0.19448561949674517,0.15767610380564256,0.6111931183318745,0.3888056302574755
Aston Villa,4,0,Everton,2023-08-20,1.7,4.0,4.5,1.92,1.98,0.5017977985973152,0.30729564388881997,0.1909064959084012,0.2738306182943805,0.726169380620264
West Ham,3,1,Chelsea,2023-08-20,3.75,3.5,2.0,1.96,1.94,0.48710335184718256,0.28733685079154275,0.22555965836989672,0.3469678902912903,0.6530321029239441
Crystal Palace,0,1,Arsenal,2023-08-21,5.5,4.0,1.6,1.94,1.96,0.25543014213811105,0.2526094072264543,0.4919595940538625,0.4869903001129041,0.5130095737367221
Chelsea,3,0,Luton Town,2023-08-25,1.29,5.5,11.0,1.67,2.2,0.8222152685647345,0.12117845710794936,0.05646210497585927,0.6524494447812622,0.3475479221766421
Bournemouth,0,2,Tottenham,2023-08-26,3.8,3.75,1.91,1.53,2.5,0.2023361316520232,0.2200094199293769,0.5776487026294812,0.5694306886403271,0.43056872434065685
Everton,0,1,Wolves,2023-08-26,2.3,3.3,3.2,2.1,1.73,0.4092769817457934,0.33258554896208425,0.25813745882307965,0.2501034528892314,0.749896546555436
Brentford,1,1,Crystal Palace,2023-08-26,2.15,3.4,3.5,2.1,1.73,0.6113237614569236,0.23939755512187458,0.1492771954415297,0.4153790401681181,0.5846209295314874
Manchester Utd,3,2,Nott'ham Forest,2023-08-26,1.3,6.0,8.0,1.5,2.63,0.7339463271995806,0.17077456924645076,0.09525378096404111,0.5624023644050143,0.4375971193584347
Arsenal,2,2,Fulham,2023-08-26,1.2,7.0,13.0,1.44,2.75,0.598586548571977,0.21429256019335172,0.187113499777124,0.572620330615929,0.4273790472325995
Brighton,1,3,West Ham,2023-08-26,1.53,4.75,5.25,1.5,2.63,0.6162252861481796,0.20041983556487997,0.18333818982225336,0.6310326676606388,0.3689655425500125
Sheffield Utd,1,2,Manchester City,2023-08-27,13.0,8.0,1.17,1.57,2.38,0.03576403507969763,0.08411455286304852,0.8794847836105149,0.7445573838754493,0.25542828544526863
Burnley,1,3,Aston Villa,2023-08-27,3.4,3.4,2.15,1.86,2.04,0.4319488886575544,0.29156557344549255,0.2764854583039712,0.36128873276526585,0.6387112578219682
Newcastle Utd,1,2,Liverpool,2023-08-27,2.2,3.75,3.0,1.5,2.63,0.46378078608584494,0.24713511941236763,0.28908301590369095,0.5323176593406933,0.46768204401578195
Luton Town,1,2,West Ham,2023-09-01,4.75,3.8,1.73,1.87,2.03,0.15600593571274798,0.2080592383790581,0.6359266824888891,0.5463065876311342,0.45369302814691725
Sheffield Utd,2,2,Everton,2023-09-02,2.9,3.25,2.5,2.2,1.67,0.5469520979716204,0.29492406068924987,0.15812372350599488,0.27610469373445584,0.7238953051109229
Chelsea,0,1,Nott'ham Forest,2023-09-02,1.4,4.5,8.5,1.62,2.3,0.5624391298536185,0.27866513804390775,0.15889548945876958,0.31446765759023476,0.6855323392916908
Manchester City,5,1,Fulham,2023-09-02,1.17,8.0,15.0,1.4,3.0,0.8749789375797787,0.0920167607692601,0.03271113868654378,0.6714577804331477,0.32853850634318804
Brentford,2,2,Bournemouth,2023-09-02,1.73,3.8,4.75,1.73,2.1,0.8073225083142495,0.13450385912592597,0.058104875573355065,0.5914450373904869,0.4085540871112389
Burnley,2,5,Tottenham,2023-09-02,3.6,4.0,1.85,1.62,2.3,0.25599696511994446,0.23678042670256338,0.5072203419133645,0.5543572296479388,0.44564232479241034
Brighton,3,1,Newcastle Utd,2023-09-02,2.5,3.8,2.55,1.5,2.63,0.3685800672892418,0.26151449659475423,0.3699051150690704,0.49209253967224775,0.5079073212227798
Liverpool,3,0,Aston Villa,2023-09-03,1.65,4.5,4.5,1.4,3.0,0.6858125311361297,0.20427273583118383,0.10990902787436012,0.4646584974162082,0.5353414207856044
Crystal Palace,3,2,Wolves,2023-09-03,1.91,3.3,4.33,2.2,1.67,0.412157654642023,0.29725773273440165,0.29058456117212583,0.3488685963081241,0.6511313966023446
Arsenal,3,1,Manchester Utd,2023-09-03,1.75,3.8,4.5,1.57,2.38,0.6741579099169489,0.17121294073169602,0.1545524804343494,0.7203462057813224,0.2796446918691616
Wolves,1,3,Liverpool,2023-09-16,6.0,5.0,1.45,1.44,2.75,0.1405632415520801,0.23165687207653246,0.6277778359349131,0.4275439835349288,0.5724559775341967
Fulham,1,0,Luton Town,2023-09-16,1.67,3.75,5.5,1.89,2.01,0.42007791025249,0.23399705527348896,0.3459228326661483,0.6171162440296901,0.3828823632777467
West Ham,1,3,Manchester City,2023-09-16,7.0,4.5,1.45,1.62,2.3,0.20791005599882717,0.22043180590100142,0.5716523883308788,0.5751343315487665,0.4248650171491162
Aston Villa,3,1,Crystal Palace,2023-09-16,1.91,3.6,4.0,1.89,2.01,0.3658489562054146,0.3664770133400578,0.26767402878941843,0.1894986082175551,0.8105013917047216
Manchester Utd,1,3,Brighton,2023-09-16,2.15,4.0,2.88,1.44,2.75,0.36441515865915586,0.2633793962916373,0.3722051598905767,0.4840619515054324,0.5159379292479893
Tottenham,2,1,Sheffield Utd,2023-09-16,1.29,5.5,11.0,1.5,2.63,0.8286399943681341,0.11244515794773421,0.05863184908434314,0.7136616810403666,0.2863302800421658
Newcastle Utd,1,0,Brentford,2023-09-16,1.53,4.2,6.0,1.67,2.2,0.5494496214923704,0.23885064262294434,0.21169777220870548,0.5009782575391339,0.4990215777093917
Bournemouth,0,0,Chelsea,2023-09-17,4.33,3.75,1.8,1.67,2.2,0.3342830952555161,0.3253958692821678,0.3403210271641649,0.2781083378990583,0.7218916608817918
Everton,0,1,Arsenal,2023-09-17,6.0,4.5,1.5,1.67,2.2,0.19198759197855192,0.2087773993105586,0.5992243333490418,0.6055899617358538,0.39440890722029714
Nott'ham Forest,1,1,Burnley,2023-09-18,2.2,3.5,3.25,1.92,1.98,0.523996435758313,0.2654574418423712,0.21054566689276374,0.40242447552518756,0.5975755013767761
