Home,Hscore,Ascore,Away,date
Leicester City,2,2,Manchester Utd,2020-12-26
Aston Villa,3,0,Crystal Palace,2020-12-26
Fulham,0,0,Southampton,2020-12-26
Arsenal,3,1,Chelsea,2020-12-26
Sheffield Utd,0,1,Everton,2020-12-26
Manchester City,2,0,Newcastle Utd,2020-12-26
Leeds United,1,0,Burnley,2020-12-27
West Ham,2,2,Brighton,2020-12-27
Liverpool,1,1,West Brom,2020-12-27
Wolves,1,1,Tottenham,2020-12-27
Crystal Palace,1,1,Leicester City,2020-12-28
Chelsea,1,1,Aston Villa,2020-12-28
West Brom,0,5,Leeds United,2020-12-29
Southampton,0,0,West Ham,2020-12-29
Burnley,1,0,Sheffield Utd,2020-12-29
Brighton,0,1,Arsenal,2020-12-29
Manchester Utd,1,0,Wolves,2020-12-29
Newcastle Utd,0,0,Liverpool,2020-12-30
Everton,0,1,West Ham,2021-01-01
Manchester Utd,2,1,Aston Villa,2021-01-01
Tottenham,3,0,Leeds United,2021-01-02
Crystal Palace,2,0,Sheffield Utd,2021-01-02
Brighton,3,3,Wolves,2021-01-02
West Brom,0,4,Arsenal,2021-01-02
Newcastle Utd,1,2,Leicester City,2021-01-03
Chelsea,1,3,Manchester City,2021-01-03
Southampton,1,0,Liverpool,2021-01-04
Sheffield Utd,1,0,Newcastle Utd,2021-01-12
Burnley,0,1,Manchester Utd,2021-01-12
Wolves,1,2,Everton,2021-01-12
Manchester City,1,0,Brighton,2021-01-13
Tottenham,1,1,Fulham,2021-01-13
Arsenal,0,0,Crystal Palace,2021-01-14
Wolves,2,3,West Brom,2021-01-16
West Ham,1,0,Burnley,2021-01-16
Leeds United,0,1,Brighton,2021-01-16
Fulham,0,1,Chelsea,2021-01-16
Leicester City,2,0,Southampton,2021-01-16
Sheffield Utd,1,3,Tottenham,2021-01-17
Liverpool,0,0,Manchester Utd,2021-01-17
Manchester City,4,0,Crystal Palace,2021-01-17
Arsenal,3,0,Newcastle Utd,2021-01-18
West Ham,2,1,West Brom,2021-01-19
Leicester City,2,0,Chelsea,2021-01-19
Manchester City,2,0,Aston Villa,2021-01-20
Fulham,1,2,Manchester Utd,2021-01-20
Liverpool,0,1,Burnley,2021-01-21
Aston Villa,2,0,Newcastle Utd,2021-01-23
Newcastle Utd,1,2,Leeds United,2021-01-26
Crystal Palace,2,3,West Ham,2021-01-26
West Brom,0,5,Manchester City,2021-01-26
Southampton,1,3,Arsenal,2021-01-26
Chelsea,0,0,Wolves,2021-01-27
Burnley,3,2,Aston Villa,2021-01-27
Brighton,0,0,Fulham,2021-01-27
Everton,1,1,Leicester City,2021-01-27
Manchester Utd,1,2,Sheffield Utd,2021-01-27
Tottenham,1,3,Liverpool,2021-01-28
Everton,0,2,Newcastle Utd,2021-01-30
Crystal Palace,1,0,Wolves,2021-01-30
Manchester City,1,0,Sheffield Utd,2021-01-30
West Brom,2,2,Fulham,2021-01-30
Arsenal,0,0,Manchester Utd,2021-01-30
Southampton,0,1,Aston Villa,2021-01-30
Chelsea,2,0,Burnley,2021-01-31
Leicester City,1,3,Leeds United,2021-01-31
West Ham,1,3,Liverpool,2021-01-31
Brighton,1,0,Tottenham,2021-01-31
Sheffield Utd,2,1,West Brom,2021-02-02
Wolves,2,1,Arsenal,2021-02-02
Manchester Utd,9,0,Southampton,2021-02-02
Newcastle Utd,1,2,Crystal Palace,2021-02-02
Burnley,0,2,Manchester City,2021-02-03
Fulham,0,2,Leicester City,2021-02-03
Leeds United,1,2,Everton,2021-02-03
Liverpool,0,1,Brighton,2021-02-03
Aston Villa,1,3,West Ham,2021-02-03
Tottenham,0,1,Chelsea,2021-02-04
Aston Villa,1,0,Arsenal,2021-02-06
Burnley,1,1,Brighton,2021-02-06
Newcastle Utd,3,2,Southampton,2021-02-06
Fulham,0,0,West Ham,2021-02-06
Manchester Utd,3,3,Everton,2021-02-06
Tottenham,2,0,West Brom,2021-02-07
Wolves,0,0,Leicester City,2021-02-07
Liverpool,1,4,Manchester City,2021-02-07
Sheffield Utd,1,2,Chelsea,2021-02-07
Leeds United,2,0,Crystal Palace,2021-02-08
Leicester City,3,1,Liverpool,2021-02-13
Crystal Palace,0,3,Burnley,2021-02-13
Manchester City,3,0,Tottenham,2021-02-13
Brighton,0,0,Aston Villa,2021-02-13
Southampton,1,2,Wolves,2021-02-14
West Brom,1,1,Manchester Utd,2021-02-14
Arsenal,4,2,Leeds United,2021-02-14
Everton,0,2,Fulham,2021-02-14
West Ham,3,0,Sheffield Utd,2021-02-15
Chelsea,2,0,Newcastle Utd,2021-02-15
Burnley,1,1,Fulham,2021-02-17
Everton,1,3,Manchester City,2021-02-17
Wolves,1,0,Leeds United,2021-02-19
Southampton,1,1,Chelsea,2021-02-20
Burnley,0,0,West Brom,2021-02-20
Liverpool,0,2,Everton,2021-02-20
Fulham,1,0,Sheffield Utd,2021-02-20
West Ham,2,1,Tottenham,2021-02-21
Aston Villa,1,2,Leicester City,2021-02-21
Arsenal,0,1,Manchester City,2021-02-21
Manchester Utd,3,1,Newcastle Utd,2021-02-21
Brighton,1,2,Crystal Palace,2021-02-22
Leeds United,3,0,Southampton,2021-02-23
Manchester City,2,1,West Ham,2021-02-27
West Brom,1,0,Brighton,2021-02-27
Leeds United,0,1,Aston Villa,2021-02-27
Newcastle Utd,1,1,Wolves,2021-02-27
Crystal Palace,0,0,Fulham,2021-02-28
Leicester City,1,3,Arsenal,2021-02-28
Tottenham,4,0,Burnley,2021-02-28
Chelsea,0,0,Manchester Utd,2021-02-28
Sheffield Utd,0,2,Liverpool,2021-02-28
Everton,1,0,Southampton,2021-03-01
Manchester City,4,1,Wolves,2021-03-02
Sheffield Utd,1,0,Aston Villa,2021-03-03
Burnley,1,1,Leicester City,2021-03-03
Crystal Palace,0,0,Manchester Utd,2021-03-03
West Brom,0,1,Everton,2021-03-04
Fulham,0,1,Tottenham,2021-03-04
Liverpool,0,1,Chelsea,2021-03-04
Burnley,1,1,Arsenal,2021-03-06
Sheffield Utd,0,2,Southampton,2021-03-06
Aston Villa,0,0,Wolves,2021-03-06
Brighton,1,2,Leicester City,2021-03-06
West Brom,0,0,Newcastle Utd,2021-03-07
Liverpool,0,1,Fulham,2021-03-07
Manchester City,0,2,Manchester Utd,2021-03-07
Tottenham,4,1,Crystal Palace,2021-03-07
Chelsea,2,0,Everton,2021-03-08
West Ham,2,0,Leeds United,2021-03-08
Manchester City,5,2,Southampton,2021-03-10
Newcastle Utd,1,1,Aston Villa,2021-03-12
Leeds United,0,0,Chelsea,2021-03-13
Crystal Palace,1,0,West Brom,2021-03-13
Everton,1,2,Burnley,2021-03-13
Fulham,0,3,Manchester City,2021-03-13
Southampton,1,2,Brighton,2021-03-14
Leicester City,5,0,Sheffield Utd,2021-03-14
Arsenal,2,1,Tottenham,2021-03-14
Manchester Utd,1,0,West Ham,2021-03-14
Wolves,0,1,Liverpool,2021-03-15
Fulham,1,2,Leeds United,2021-03-19
Brighton,3,0,Newcastle Utd,2021-03-20
West Ham,3,3,Arsenal,2021-03-21
Aston Villa,0,2,Tottenham,2021-03-21
Chelsea,2,5,West Brom,2021-04-03
Leeds United,2,1,Sheffield Utd,2021-04-03
