Home,Hscore,Ascore,Away,date
Liverpool,1,0,Stoke City,2013-08-17
Norwich City,2,2,Everton,2013-08-17
Swansea City,1,4,Manchester Utd,2013-08-17
West Ham,2,0,Cardiff City,2013-08-17
West Brom,0,1,Southampton,2013-08-17
Sunderland,0,1,Fulham,2013-08-17
Arsenal,1,3,Aston Villa,2013-08-17
Crystal Palace,0,1,Tottenham,2013-08-18
Chelsea,2,0,Hull City,2013-08-18
Manchester City,4,0,Newcastle Utd,2013-08-19
Chelsea,2,1,Aston Villa,2013-08-21
Stoke City,2,1,Crystal Palace,2013-08-24
Newcastle Utd,0,0,West Ham,2013-08-24
Hull City,1,0,Norwich City,2013-08-24
Everton,0,0,West Brom,2013-08-24
Fulham,1,3,Arsenal,2013-08-24
Southampton,1,1,Sunderland,2013-08-24
Aston Villa,0,1,Liverpool,2013-08-24
Tottenham,1,0,Swansea City,2013-08-25
Cardiff City,3,2,Manchester City,2013-08-25
Manchester Utd,0,0,Chelsea,2013-08-26
West Ham,0,1,Stoke City,2013-08-31
Norwich City,1,0,Southampton,2013-08-31
Crystal Palace,3,1,Sunderland,2013-08-31
Cardiff City,0,0,Everton,2013-08-31
Manchester City,2,0,Hull City,2013-08-31
Newcastle Utd,1,0,Fulham,2013-08-31
Arsenal,1,0,Tottenham,2013-09-01
Liverpool,1,0,Manchester Utd,2013-09-01
West Brom,0,2,Swansea City,2013-09-01
Stoke City,0,0,Manchester City,2013-09-14
Everton,1,0,Chelsea,2013-09-14
Sunderland,1,3,Arsenal,2013-09-14
Manchester Utd,2,0,Crystal Palace,2013-09-14
Fulham,1,1,West Brom,2013-09-14
Hull City,1,1,Cardiff City,2013-09-14
Tottenham,2,0,Norwich City,2013-09-14
Aston Villa,1,2,Newcastle Utd,2013-09-14
Southampton,0,0,West Ham,2013-09-15
Swansea City,2,2,Liverpool,2013-09-16
Newcastle Utd,2,3,Hull City,2013-09-21
Liverpool,0,1,Southampton,2013-09-21
West Ham,2,3,Everton,2013-09-21
West Brom,3,0,Sunderland,2013-09-21
Norwich City,0,1,Aston Villa,2013-09-21
Chelsea,2,0,Fulham,2013-09-21
Manchester City,4,1,Manchester Utd,2013-09-22
Arsenal,3,1,Stoke City,2013-09-22
Cardiff City,0,1,Tottenham,2013-09-22
Crystal Palace,0,2,Swansea City,2013-09-22
Aston Villa,3,2,Manchester City,2013-09-28
Southampton,2,0,Crystal Palace,2013-09-28
Tottenham,1,1,Chelsea,2013-09-28
Manchester Utd,1,2,West Brom,2013-09-28
Hull City,1,0,West Ham,2013-09-28
Fulham,1,2,Cardiff City,2013-09-28
Swansea City,1,2,Arsenal,2013-09-28
Sunderland,1,3,Liverpool,2013-09-29
Stoke City,0,1,Norwich City,2013-09-29
Everton,3,2,Newcastle Utd,2013-09-30
Cardiff City,1,2,Newcastle Utd,2013-10-05
Liverpool,3,1,Crystal Palace,2013-10-05
Hull City,0,0,Aston Villa,2013-10-05
Fulham,1,0,Stoke City,2013-10-05
Manchester City,3,1,Everton,2013-10-05
Sunderland,1,2,Manchester Utd,2013-10-05
West Brom,1,1,Arsenal,2013-10-06
Tottenham,0,3,West Ham,2013-10-06
Southampton,2,0,Swansea City,2013-10-06
Norwich City,1,3,Chelsea,2013-10-06
Chelsea,4,1,Cardiff City,2013-10-19
Arsenal,4,1,Norwich City,2013-10-19
West Ham,1,3,Manchester City,2013-10-19
Swansea City,4,0,Sunderland,2013-10-19
Everton,2,1,Hull City,2013-10-19
Stoke City,0,0,West Brom,2013-10-19
Newcastle Utd,2,2,Liverpool,2013-10-19
Manchester Utd,1,1,Southampton,2013-10-19
Aston Villa,0,2,Tottenham,2013-10-20
Crystal Palace,1,4,Fulham,2013-10-21
Aston Villa,0,2,Everton,2013-10-26
Liverpool,4,1,West Brom,2013-10-26
Southampton,2,0,Fulham,2013-10-26
Manchester Utd,3,2,Stoke City,2013-10-26
Crystal Palace,0,2,Arsenal,2013-10-26
Norwich City,0,0,Cardiff City,2013-10-26
Tottenham,1,0,Hull City,2013-10-27
Sunderland,2,1,Newcastle Utd,2013-10-27
Swansea City,0,0,West Ham,2013-10-27
Chelsea,2,1,Manchester City,2013-10-27
Fulham,1,3,Manchester Utd,2013-11-02
West Ham,0,0,Aston Villa,2013-11-02
Arsenal,2,0,Liverpool,2013-11-02
Manchester City,7,0,Norwich City,2013-11-02
Stoke City,1,1,Southampton,2013-11-02
Newcastle Utd,2,0,Chelsea,2013-11-02
Hull City,1,0,Sunderland,2013-11-02
West Brom,2,0,Crystal Palace,2013-11-02
Everton,0,0,Tottenham,2013-11-03
Cardiff City,1,0,Swansea City,2013-11-03
Liverpool,4,0,Fulham,2013-11-09
Crystal Palace,0,0,Everton,2013-11-09
Chelsea,2,2,West Brom,2013-11-09
Norwich City,3,1,West Ham,2013-11-09
Southampton,4,1,Hull City,2013-11-09
Aston Villa,2,0,Cardiff City,2013-11-09
Tottenham,0,1,Newcastle Utd,2013-11-10
