Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U,proba_win_0.004,proba_draw_0.004,proba_lose_0.004,proba_O_0.004,proba_U_0.004
Brighton,3,1,Newcastle Utd,2023-09-02,2.5,3.8,2.55,1.5,2.63,0.33030589909047103,0.2152014159285046,0.45448342822180177,0.706979469870207,0.02587979324659784
Liverpool,3,0,Aston Villa,2023-09-03,1.65,4.5,4.5,1.4,3.0,0.2658102696544825,0.3075924323475142,0.4265972617503987,0.3120499112523121,0.14130031972665544
Crystal Palace,3,2,Wolves,2023-09-03,1.91,3.3,4.33,2.2,1.67,0.4803402037904695,0.2765484226220689,0.24311114485696403,0.3919883517276869,0.10503364944547688
Arsenal,3,1,Manchester Utd,2023-09-03,1.75,3.8,4.5,1.57,2.38,0.5052085380635714,0.21154502929905883,0.2832339308146919,0.6978546506480043,0.027267188662892426
Wolves,1,3,Liverpool,2023-09-16,6.0,5.0,1.45,1.44,2.75,0.2590459480505404,0.3774791256829207,0.36347492517637686,0.1718468899304127,0.24153007996800405
Fulham,1,0,Luton Town,2023-09-16,1.67,3.75,5.5,1.89,2.01,0.484396071229861,0.2144702653738446,0.30112357689039104,0.6955865679978281,0.027618678020584646
West Ham,1,3,Manchester City,2023-09-16,7.0,4.5,1.45,1.62,2.3,0.1459431855385868,0.20731538409168318,0.646733766434017,0.5302930557960998,0.060954263186403804
Aston Villa,3,1,Crystal Palace,2023-09-16,1.91,3.6,4.0,1.89,2.01,0.5227279395285299,0.25013193430598746,0.22713908052364512,0.47309916375476396,0.07692753719056039
Manchester Utd,1,3,Brighton,2023-09-16,2.15,4.0,2.88,1.44,2.75,0.4882732811808133,0.22755795582989524,0.28416471373277286,0.6196860714516546,0.04090225439226073
Tottenham,2,1,Sheffield Utd,2023-09-16,1.29,5.5,11.0,1.5,2.63,0.6215862542645203,0.19925244495802685,0.17914396497355972,0.6297186808560697,0.03896117678333055
Newcastle Utd,1,0,Brentford,2023-09-16,1.53,4.2,6.0,1.67,2.2,0.581571549379322,0.22415948252257478,0.19426462623225568,0.540352074462388,0.05842783069666541
Bournemouth,0,0,Chelsea,2023-09-17,4.33,3.75,1.8,1.67,2.2,0.30526984253246,0.2973076895083109,0.39742242191767435,0.3530754677985262,0.12142104409409257
Everton,0,1,Arsenal,2023-09-17,6.0,4.5,1.5,1.67,2.2,0.31733572557103595,0.2540788782599157,0.4285847844057967,0.515697222272081,0.06478514114837734
Nott'ham Forest,1,1,Burnley,2023-09-18,2.2,3.5,3.25,1.92,1.98,0.5931433404457358,0.21063458349809158,0.19621221849741907,0.603853221493862,0.04407377186492146
Manchester City,2,0,Nott'ham Forest,2023-09-23,1.14,8.5,15.0,1.4,3.0,0.8717959262158883,0.09048402101296343,0.03728474365086875,0.7148817647432234,0.024693256219313543
Luton Town,1,1,Wolves,2023-09-23,3.25,3.4,2.2,2.02,1.88,0.39952282359761443,0.2522378879964089,0.3482386719255553,0.5318345338956878,0.06057700734875698
Crystal Palace,0,0,Fulham,2023-09-23,1.91,3.4,4.2,2.0,1.8,0.5001126942184559,0.2740634822595241,0.22582354316948222,0.3877681937155768,0.10670496514667495
Brentford,1,3,Everton,2023-09-23,1.8,3.8,4.2,1.95,1.95,0.6770728085980113,0.2085417300072008,0.114380540329401,0.4593497069270481,0.08117469643958518
Burnley,0,1,Manchester Utd,2023-09-23,4.2,4.2,1.73,1.62,2.3,0.27890499119969225,0.22887626897735272,0.4922150122116234,0.6095850130927064,0.042910972657116034
