Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U,proba_win_0.006,proba_draw_0.006,proba_lose_0.006,proba_O_0.006,proba_U_0.006
Burnley,0,3,Manchester City,2023-08-11,8.0,5.5,1.33,1.67,2.2,0.0756584713610447,0.16727995014500924,0.7570421326679889,0.5135840873274023,0.486415703939315
Arsenal,2,1,Nott'ham Forest,2023-08-12,1.18,7.0,15.0,1.44,2.75,0.7702917007129685,0.14347719490901323,0.08613103946982119,0.6646425624354566,0.33535416034568966
Everton,0,1,Fulham,2023-08-12,2.2,3.4,3.3,2.01,1.89,0.37688183474863013,0.3068815722203128,0.31623656868830646,0.3259490074686643,0.6740509884060703
Sheffield Utd,0,1,Crystal Palace,2023-08-12,3.0,3.3,2.38,2.2,1.67,0.2725261302412784,0.31981741779123096,0.4076564345092023,0.2826429265003271,0.7173570721231481
Brighton,4,1,Luton Town,2023-08-12,1.33,5.5,9.0,1.62,2.3,0.7080619775820864,0.14315565559084054,0.14827276910452655,0.8494408934220631,0.15043631611355396
Bournemouth,1,1,West Ham,2023-08-12,2.7,3.4,2.55,1.9,2.0,0.288514932691116,0.28726744824100314,0.4242175265677815,0.37910371585931796,0.6208962701690965
Newcastle Utd,5,1,Aston Villa,2023-08-12,1.75,3.75,4.6,1.73,2.1,0.46982742488018736,0.2756330851273972,0.2545392649534553,0.40141646213496684,0.5985835152793662
Brentford,2,2,Tottenham,2023-08-13,2.75,3.4,2.45,1.73,2.1,0.4999445956091768,0.23249483685661335,0.26755762756226376,0.5831357889432057,0.4168634590876072
Chelsea,1,1,Liverpool,2023-08-13,2.9,3.4,2.38,1.67,2.2,0.3118657793558755,0.36415842841161034,0.32397579098289603,0.19671084384352666,0.8032891560523279
Manchester Utd,1,0,Wolves,2023-08-14,1.33,5.5,9.0,1.62,2.3,0.5867941197271227,0.26021040194274203,0.15299492003771017,0.35654256507116755,0.6434574264814439
Nott'ham Forest,2,1,Sheffield Utd,2023-08-18,1.95,3.4,4.0,2.2,1.67,0.8210241548933704,0.17502648432229206,0.003946835157698586,0.26468036686750496,0.7353196322925841
Fulham,0,3,Brentford,2023-08-19,2.7,3.3,2.63,1.96,1.94,0.25573115273889907,0.24711414256698763,0.4971535151682223,0.5093961173927752,0.4906036897028241
Liverpool,3,1,Bournemouth,2023-08-19,1.2,7.0,13.0,1.33,3.4,0.8117067706784696,0.12551497472565415,0.0626380700483733,0.6597601229068497,0.3402368769195215
Wolves,1,4,Brighton,2023-08-19,4.0,3.8,1.85,1.73,2.1,0.2966842650799987,0.2655857441836845,0.43772966887676534,0.45956904494972517,0.5404308811279641
Tottenham,2,0,Manchester Utd,2023-08-19,2.8,3.6,2.38,1.57,2.38,0.41354987516887504,0.23919100284631736,0.3472576154743234,0.5918101347561376,0.40818898521285185
Manchester City,1,0,Newcastle Utd,2023-08-19,1.67,4.0,5.0,1.73,2.1,0.6194216424011441,0.20164667394759667,0.17891687160028044,0.6172785697487284,0.38272003608879307
Aston Villa,4,0,Everton,2023-08-20,1.7,4.0,4.5,1.92,1.98,0.6861345043599447,0.2102916409186971,0.10356995120560213,0.42901748615336915,0.5709824737682111
West Ham,3,1,Chelsea,2023-08-20,3.75,3.5,2.0,1.96,1.94,0.37409076978267797,0.2996728287639487,0.3262363667563379,0.3486183255415032,0.6513816674206361
Crystal Palace,0,1,Arsenal,2023-08-21,5.5,4.0,1.6,1.94,1.96,0.19250850477461803,0.1955521527370578,0.6119146627151079,0.6700608417664581,0.32993554306749107
Chelsea,3,0,Luton Town,2023-08-25,1.29,5.5,11.0,1.67,2.2,0.28171288402635003,0.2972622101684907,0.4210248506721229,0.34576014581640796,0.6542398475938198
Bournemouth,0,2,Tottenham,2023-08-26,3.8,3.75,1.91,1.53,2.5,0.2825023777250698,0.23279235775276255,0.48470244683178604,0.5929256332060465,0.40707346881177975
Everton,0,1,Wolves,2023-08-26,2.3,3.3,3.2,2.1,1.73,0.44902168852356256,0.31611235281692013,0.2348659284657262,0.27781747253447403,0.7221825262545265
Brentford,1,1,Crystal Palace,2023-08-26,2.15,3.4,3.5,2.1,1.73,0.6724110740970467,0.20166433288440017,0.12591649261945742,0.5108259897834869,0.4891738120421688
Manchester Utd,3,2,Nott'ham Forest,2023-08-26,1.3,6.0,8.0,1.5,2.63,0.6409530269812531,0.22259624490047494,0.1364476283589051,0.45187261198553746,0.5481273245332645
Arsenal,2,2,Fulham,2023-08-26,1.2,7.0,13.0,1.44,2.75,0.8191335893330774,0.11109594925481552,0.06926893354527884,0.7753844934911558,0.22458957839788418
Brighton,1,3,West Ham,2023-08-26,1.53,4.75,5.25,1.5,2.63,0.6209522467276783,0.17138270026235425,0.2075098099443296,0.8141110335094661,0.18583216257398447
Sheffield Utd,1,2,Manchester City,2023-08-27,13.0,8.0,1.17,1.57,2.38,0.025729887879935333,0.10972714625356807,0.864473540092241,0.5318086325390438,0.46819107406357874
Burnley,1,3,Aston Villa,2023-08-27,3.4,3.4,2.15,1.86,2.04,0.1949114551997227,0.24842633701296749,0.5566610903768734,0.4447171516591719,0.5552827933051236
Newcastle Utd,1,2,Liverpool,2023-08-27,2.2,3.75,3.0,1.5,2.63,0.6468553440984754,0.20706606376614972,0.14607086072808098,0.5309972673546437,0.46900244364177396
Luton Town,1,2,West Ham,2023-09-01,4.75,3.8,1.73,1.87,2.03,0.17567242018237977,0.18430572294204692,0.6399786884445235,0.6966175113125599,0.3033766244926546
Sheffield Utd,2,2,Everton,2023-09-02,2.9,3.25,2.5,2.2,1.67,0.5070328667757722,0.28502348321344506,0.2079434826528151,0.3407581297350575,0.6592418643991295
Chelsea,0,1,Nott'ham Forest,2023-09-02,1.4,4.5,8.5,1.62,2.3,0.5320400469964975,0.2486002879299791,0.21935853241593384,0.47060942778853776,0.5293904804288251
