teams,def_coef
Arsenal,-0.9357298336316964
Aston Villa,-0.295177233661434
Bournemouth,-0.15002984691697496
Brentford,-0.2376904573680776
Brighton,-0.269202092191947
Burnley,-0.010671941967285867
Chelsea,-0.1397608687255869
Crystal Palace,-0.2860704722845129
Everton,-0.3534303358840618
Fulham,-0.23395292736290396
Liverpool,-0.5204001361636548
Luton Town,-0.03556118365967614
Manchester City,-0.7568727153656365
Manchester Utd,-0.4429214042915801
Newcastle Utd,-0.28214081815152525
Nott'ham Forest,-0.07202155798607718
Sheffield Utd,0.09511624327207743
Tottenham,-0.19324758757629912
West Ham,-0.04228389661440936
Wolves,-0.16816115305199197
