teams,att_coef
Arsenal,1.3922525933083918
Aston Villa,1.420049785115688
Bournemouth,0.6120201439319576
Brentford,1.096612851052334
Brighton,1.2661798325076772
Burnley,0.44574728226584587
Chelsea,1.215129853314705
Crystal Palace,0.662416410833213
Everton,0.853509495912618
Fulham,0.5553570574668794
Liverpool,1.4027004566555001
Luton Town,0.5332896867162941
Manchester City,1.6209141860152565
Manchester Utd,0.7693142332086741
Newcastle Utd,1.391345072778331
Nott'ham Forest,0.8429546001177756
Sheffield Utd,0.5752535950327573
Tottenham,1.2432481071973176
West Ham,1.1835086056581516
Wolves,0.9181961509106272
