teams,att_coef
Arsenal,1.4307021357607541
Aston Villa,1.2018708612325424
Bournemouth,0.7623775991406073
Brentford,0.9486761611078545
Brighton,0.9723374767073969
Burnley,0.6444110000995384
Chelsea,1.0031288366532702
Crystal Palace,0.7626954664690522
Everton,0.6086570228231452
Fulham,0.9832109396236527
Liverpool,1.4389928131738148
Luton Town,0.9793375384509951
Manchester City,1.5482487157522464
Manchester Utd,1.1147408992582015
Newcastle Utd,1.2838456403820944
Nott'ham Forest,0.8414568008971729
Sheffield Utd,0.6182576505801033
Tottenham,1.1705070724910005
West Ham,1.0067154876168947
Wolves,0.6798298817796586
