teams,def_coef
Arsenal,-1.0552410696308332
Aston Villa,-0.8133561901221439
Bournemouth,-0.5594396024363216
Brentford,-0.8075836668006519
Brighton,-0.8234889376291713
Burnley,-0.6399123592712375
Chelsea,-0.9378200689955448
Crystal Palace,-0.8125655574873949
Everton,-0.7678169248443997
Fulham,-0.7683853777255114
Liverpool,-1.1774132897793674
Luton Town,-0.4646099958254185
Manchester City,-1.2932720335805588
Manchester Utd,-0.8640772966019871
Newcastle Utd,-0.8312762153154065
Nott'ham Forest,-0.6299188213545455
Sheffield Utd,-0.2262620933567467
Tottenham,-0.8499558849924139
West Ham,-0.7556414113764297
Wolves,-0.8636577300585337
