Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U,proba_win,proba_draw,proba_lose,proba_O,proba_U
West Ham,2,0,Sheffield Utd,2023-09-30,1.45,4.5,7.0,1.67,2.2,,,,,
Manchester Utd,0,1,Crystal Palace,2023-09-30,1.55,4.2,5.75,1.8,2.0,,,,,
Tottenham,2,1,Liverpool,2023-09-30,2.9,4.0,2.15,1.36,3.2,,,,,
Nott'ham Forest,1,1,Brentford,2023-10-01,2.75,3.1,2.7,2.1,1.73,,,,,
Fulham,0,2,Chelsea,2023-10-02,3.6,3.5,2.05,1.98,1.92,,,,,
Luton Town,1,2,Burnley,2023-10-03,2.9,3.0,2.63,2.2,1.65,,,,,
Luton Town,0,1,Tottenham,2023-10-07,6.0,4.75,1.45,1.53,2.4,,,,,
Everton,3,0,Bournemouth,2023-10-07,1.91,3.6,3.8,1.85,2.05,,,,,
Manchester Utd,2,1,Brentford,2023-10-07,1.67,4.2,4.75,1.65,2.2,,,,,
Burnley,1,4,Chelsea,2023-10-07,4.5,3.8,1.73,1.85,2.05,,,,,
Fulham,3,1,Sheffield Utd,2023-10-07,1.62,3.8,6.0,1.96,1.94,,,,,
Crystal Palace,0,0,Nott'ham Forest,2023-10-07,2.2,3.1,3.6,2.25,1.62,,,,,
West Ham,2,2,Newcastle Utd,2023-10-08,3.2,3.75,2.1,1.7,2.1,,,,,
Wolves,1,1,Aston Villa,2023-10-08,3.5,3.4,2.1,1.75,2.05,,,,,
Brighton,2,2,Liverpool,2023-10-08,3.0,3.8,2.2,1.36,3.1,,,,,
Arsenal,1,0,Manchester City,2023-10-08,2.9,3.3,2.4,1.75,2.05,,,,,
Liverpool,2,0,Everton,2023-10-21,1.33,5.75,7.5,1.4,2.88,,,,,
Bournemouth,1,2,Wolves,2023-10-21,2.38,3.4,3.0,1.85,2.05,,,,,
Newcastle Utd,4,0,Crystal Palace,2023-10-21,1.45,4.5,7.0,1.85,2.05,,,,,
Brentford,3,0,Burnley,2023-10-21,1.83,3.75,4.2,1.95,1.95,,,,,
Manchester City,2,1,Brighton,2023-10-21,1.4,5.25,6.5,1.36,3.1,,,,,
Nott'ham Forest,2,2,Luton Town,2023-10-21,1.67,3.75,5.5,2.08,1.82,,,,,
Chelsea,2,2,Arsenal,2023-10-21,3.2,3.4,2.25,1.98,1.92,,,,,
Sheffield Utd,1,2,Manchester Utd,2023-10-21,6.5,5.25,1.4,1.53,2.4,,,,,
Aston Villa,4,1,West Ham,2023-10-22,1.85,3.6,4.0,1.57,2.35,,,,,
Tottenham,2,0,Fulham,2023-10-23,1.5,4.5,6.0,1.5,2.5,,,,,
Crystal Palace,1,2,Tottenham,2023-10-27,4.5,3.75,1.75,1.94,1.96,,,,,
Chelsea,0,2,Brentford,2023-10-28,1.65,4.0,5.25,1.8,2.0,,,,,
Bournemouth,2,1,Burnley,2023-10-28,2.15,3.5,3.3,1.75,2.05,,,,,
Arsenal,5,0,Sheffield Utd,2023-10-28,1.13,8.5,19.0,1.36,3.1,,,,,
Wolves,2,2,Newcastle Utd,2023-10-28,4.2,4.0,1.75,1.75,2.05,,,,,
West Ham,0,1,Everton,2023-10-29,2.15,3.5,3.3,1.73,2.08,,,,,
Liverpool,3,0,Nott'ham Forest,2023-10-29,1.29,5.75,11.0,1.4,2.88,,,,,
Brighton,1,1,Fulham,2023-10-29,1.55,4.2,5.5,1.5,2.5,,,,,
Aston Villa,3,1,Luton Town,2023-10-29,1.25,6.5,9.5,1.48,2.6,,,,,
