Modèle 2 :;;;;;;;;;;;;;;
Home;Hscore;Ascore;Away;date;Odds_1;Odds_X;Odds_2;O;U;proba_win;proba_draw;proba_lose;proba_O;proba_U
Sheffield Utd;0;5;Aston Villa;03/02/2024;5.25;4.2;1.62;1.62;2.25;0.1316601065594329;0.17871687489302956;0.6895985393919148;0.6013607924662233;0.39863839234464143
Bournemouth;1;1;Nott'ham Forest;04/02/2024;1.7;4.2;4.5;1.65;2.2;0.4705638745660127;0.23215646306146678;0.2972780226377263;0.5665146419813107;0.43348492669020383
Manchester Utd;3;0;West Ham;04/02/2024;1.62;4.2;5.0;1.6;2.3;0.47771838505582737;0.2463569324026594;0.27592398956667186;0.48698559850815387;0.513014299213045
Chelsea;2;4;Wolves;04/02/2024;1.62;4.0;5.5;1.7;2.1;0.5205047182191982;0.254265882877278;0.2252288849024945;0.4161693712932947;0.5838306025871912
Arsenal;3;1;Liverpool;04/02/2024;2.2;3.6;3.1;1.67;2.15;0.417850650766673;0.23672717236657828;0.34542120659142933;0.5633213428769728;0.43667825005576494
Brentford;1;3;Manchester City;05/02/2024;7.0;4.75;1.4;1.57;2.35;0.20352678532333576;0.20849638056636494;0.5879679665266188;0.6013741884599921;0.39862493835037033
Manchester City;2;0;Everton;10/02/2024;1.18;8.0;13.0;1.44;2.7;0.7965696301090434;0.13518338248747727;0.06816250491649287;0.622407639860432;0.37759105327784404
Luton Town;1;3;Sheffield Utd;10/02/2024;1.75;3.75;4.75;1.85;2.05;0.7806723465144791;0.12807361166019404;0.09096316613728986;0.7583821083452557;0.24160262890724604
Liverpool;3;1;Burnley;10/02/2024;1.17;8.0;17.0;1.33;3.4;0.8290391326878219;0.1150608569913218;0.05570905098677217;0.6739792773441624;0.32601742171752246
Wolves;0;2;Brentford;10/02/2024;2.1;3.6;3.4;1.75;2.05;0.42280169030676235;0.2552878789711276;0.32191007180441;0.48252122103264206;0.5174786786142171
Fulham;3;1;Bournemouth;10/02/2024;2.38;3.5;2.8;1.73;2.08;0.5643304040167687;0.22247129384764813;0.21319444845014313;0.5480132861036684;0.4519863777207701
Tottenham;2;1;Brighton;10/02/2024;1.8;4.2;3.8;1.4;2.88;0.5339171745688375;0.20095001569418003;0.26511425272820077;0.7137145855966885;0.2862789585005324
Nott'ham Forest;2;3;Newcastle Utd;10/02/2024;3.3;3.75;2.05;1.7;2.1;0.24284192238347824;0.21891246264139852;0.5382404864340803;0.5994078265125331;0.4005913325718626
West Ham;0;6;Arsenal;11/02/2024;6.0;4.33;1.53;1.67;2.15;0.25526480262625645;0.22736686759793218;0.5173653832718551;0.5706207307725805;0.42937876581884915
Aston Villa;1;2;Manchester Utd;11/02/2024;2.15;3.75;3.1;1.53;2.4;0.5281535606510195;0.23179876484419776;0.24004544088418045;0.5354495767150775;0.464550155889956
Crystal Palace;1;3;Chelsea;12/02/2024;4.2;3.8;1.85;1.86;2.04;0.34863331780487966;0.26706554780377145;0.3843010086594964;0.4282183509447628;0.571781615431899
Brentford;1;4;Liverpool;17/02/2024;5.5;4.33;1.57;1.48;2.6;0.23558399098431465;0.22428450060786187;0.5401282829447077;0.5570046750910642;0.4429949524332455
Newcastle Utd;2;2;Bournemouth;17/02/2024;1.83;4.2;3.75;1.48;2.6;0.7375017625343642;0.14901546026212986;0.11336413582797716;0.7113217603217228;0.2886723373170114
Tottenham;1;2;Wolves;17/02/2024;1.53;4.75;5.25;1.44;2.7;0.6072730117861448;0.20112735020892208;0.19158761275443228;0.6119750138235209;0.38802399576656504
Burnley;0;5;Arsenal;17/02/2024;10.0;5.75;1.29;1.57;2.35;0.13872986933700276;0.18074161844930162;0.6805039416675656;0.6104347555655587;0.3895642710129729
Fulham;1;2;Aston Villa;17/02/2024;2.9;3.75;2.2;1.6;2.3;0.34163428262289597;0.24258637896989454;0.4157786606335263;0.5365539585674081;0.46344578428506883
Nott'ham Forest;2;0;West Ham;17/02/2024;2.38;3.5;2.9;1.89;2.01;0.3811475709297145;0.24522955881109296;0.3736223491123145;0.5278732373096693;0.4721265428793926
Manchester City;1;1;Chelsea;17/02/2024;1.33;5.5;8.0;1.44;2.7;0.7468222649823102;0.1518418997165732;0.10126232950016197;0.656209536597024;0.34378825111497535
Sheffield Utd;0;5;Brighton;18/02/2024;5.0;4.2;1.62;1.57;2.35;0.1642149148643332;0.17780706167087923;0.6579358598483058;0.682982998592177;0.3170135086501042
Luton Town;1;2;Manchester Utd;18/02/2024;4.0;4.0;1.8;1.57;2.35;0.33716983013667684;0.2267112233987126;0.43611676315997544;0.6154752198987703;0.38452373745932034
Everton;1;1;Crystal Palace;19/02/2024;1.7;3.6;5.25;2.1;1.7;0.431221676456375;0.28210986103493724;0.28666840193545146;0.344005583854087;0.6559944106739054
Manchester City;1;0;Brentford;20/02/2024;1.18;8.0;13.0;1.33;3.4;0.7484030693976585;0.1479304621298565;0.10357273846130068;0.6792263651259889;0.3207705968284644
Liverpool;4;1;Luton Town;21/02/2024;1.2;7.0;13.0;1.3;3.5;0.8184957684105542;0.10940385136692563;0.07156988562616033;0.7833615317950452;0.2166172284003512
Manchester Utd;1;2;Fulham;24/02/2024;1.57;4.33;5.5;1.57;2.35;0.5191962159297424;0.2352362556307735;0.24556616215879368;0.5028913437794855;0.49710852651656257
Crystal Palace;3;0;Burnley;24/02/2024;1.95;3.5;4.0;2.1;1.7;0.5032794093636517;0.2504034017990857;0.24631665523352037;0.43824237952110673;0.5617575819265913
Brighton;1;1;Everton;24/02/2024;1.83;3.8;4.2;1.65;2.2;0.5892391463133552;0.21789395897530595;0.19286313248777245;0.5212778518550218;0.478721966178723
Aston Villa;4;2;Nott'ham Forest;24/02/2024;1.53;4.5;5.75;1.57;2.35;0.6597217397100277;0.18637505934531182;0.1538840455668572;0.6065629919573063;0.3934361778981952
Bournemouth;0;1;Manchester City;24/02/2024;7.0;5.25;1.4;1.48;2.6;0.1152114785138282;0.15516952802658596;0.7295432751843718;0.6755782398317394;0.3244189308702621
Arsenal;4;1;Newcastle Utd;24/02/2024;1.36;5.25;8.0;1.48;2.6;0.6197040820177113;0.18445964813083476;0.19580286750955483;0.6965258056530697;0.30347020459987606
Wolves;1;0;Sheffield Utd;25/02/2024;1.44;4.75;7.0;1.65;2.2;0.7162341398682022;0.16825648035220697;0.11547640973437208;0.6051657243645121;0.3948334539294416
West Ham;4;2;Brentford;26/02/2024;2.5;3.5;2.75;1.7;2.1;0.399785351037425;0.24405918480741173;0.3561549443358011;0.5246737730069;0.4753260281057603
Fulham;3;0;Brighton;02/03/2024;2.55;3.6;2.63;1.62;2.25;0.3781146264182106;0.23124021079136356;0.39064389467865274;0.5921569773493551;0.40784236425277726
Tottenham;3;1;Crystal Palace;02/03/2024;1.5;4.33;6.5;1.53;2.4;0.6246541883826047;0.19681618145943808;0.1785162228884069;0.6059676875143074;0.39403146106230447
Brentford;2;2;Chelsea;02/03/2024;3.1;3.75;2.15;1.53;2.4;0.42176332486738316;0.24474701177144315;0.3334891227730611;0.5165966177709841;0.48340321031109734
Newcastle Utd;3;0;Wolves;02/03/2024;1.91;4.0;3.6;1.57;2.35;0.6005976483240236;0.20534321784128928;0.194050399070257;0.5889042256431891;0.4110951452218985
Nott'ham Forest;0;1;Liverpool;02/03/2024;6.0;4.33;1.53;1.48;2.6;0.14368174025342534;0.17847565282733763;0.6778136988520317;0.6291530445259652;0.3708456656489261
Everton;1;3;West Ham;02/03/2024;2.05;3.6;3.5;1.92;1.98;0.4013890370963307;0.2708236223391308;0.32778724348563293;0.4024982866036872;0.5975016939347444
Luton Town;2;3;Aston Villa;02/03/2024;4.33;4.2;1.73;1.44;2.7;0.26768604090526027;0.20202615149374628;0.5302736954544348;0.6971729910435132;0.30282281366224423
