Modèle 0 :;;;;;;;;;;;;;;
Home;Hscore;Ascore;Away;date;Odds_1;Odds_X;Odds_2;O;U;proba_win;proba_draw;proba_lose;proba_O;proba_U
Arsenal;4;1;Newcastle Utd;24/02/2024;1.36;5.25;8.0;1.48;2.6;0.5935245901475679;0.19485226268738853;0.2116035607577859;0.670480161033375;0.3295171904650477
Wolves;1;0;Sheffield Utd;25/02/2024;1.44;4.75;7.0;1.65;2.2;0.6820170914283314;0.19080002884982247;0.12717187134576952;0.5297110867960279;0.4702886896681546
West Ham;4;2;Brentford;26/02/2024;2.5;3.5;2.75;1.7;2.1;0.41701705150103285;0.25009073191747844;0.33289182004382195;0.49543189514156233;0.5045679855917605
Fulham;3;0;Brighton;02/03/2024;2.55;3.6;2.63;1.62;2.25;0.3872518222482722;0.2364853217231031;0.37626193795582685;0.5684470756246858;0.4315524796357756
Tottenham;3;1;Crystal Palace;02/03/2024;1.5;4.33;6.5;1.53;2.4;0.6008402216734736;0.21182750066579809;0.18732645899768086;0.550097724903085;0.44990195099080044
Brentford;2;2;Chelsea;02/03/2024;3.1;3.75;2.15;1.53;2.4;0.3881551196695088;0.2608817917914097;0.35096291131531915;0.450780208817602;0.5492197397459462
Newcastle Utd;3;0;Wolves;02/03/2024;1.91;4.0;3.6;1.57;2.35;0.5855287661067325;0.22549278271577614;0.18897584263089862;0.49090093762741105;0.5090989520298701
Nott'ham Forest;0;1;Liverpool;02/03/2024;6.0;4.33;1.53;1.48;2.6;0.1310958567574525;0.17367933353505527;0.6951917498126813;0.6256806004828622;0.3743181506094151
Everton;1;3;West Ham;02/03/2024;2.05;3.6;3.5;1.92;1.98;0.363277060288122;0.27057190292226674;0.36615094408180915;0.4112503158632519;0.5887496605307424
Luton Town;2;3;Aston Villa;02/03/2024;4.33;4.2;1.73;1.44;2.7;0.30363207428015077;0.2105888201962709;0.4857714221057472;0.6819680618339116;0.31802865013009163
Burnley;0;2;Bournemouth;03/03/2024;3.75;3.6;1.95;1.7;2.1;0.43396475334702156;0.25692890688906167;0.3091060528943382;0.4576369747927819;0.5423629665236283
Manchester City;3;1;Manchester Utd;03/03/2024;1.25;5.75;11.0;1.36;3.1;0.7310559719366702;0.16068756853161534;0.10820814025588735;0.6292087213122917;0.37078993872965627
Sheffield Utd;0;6;Arsenal;04/03/2024;17.0;7.0;1.18;1.4;2.88;0.06592374172185317;0.10972506185347922;0.8239298207227854;0.7569954337639089;0.24299066090107752
Manchester Utd;2;0;Everton;09/03/2024;1.83;3.6;4.0;1.67;2.15;0.587151699702876;0.22997484243133134;0.1828714622888964;0.46466257971464786;0.5353373525282696
