Modèle 1 :;;;;;;;;;;;;;;
Home;Hscore;Ascore;Away;date;Odds_1;Odds_X;Odds_2;O;U;proba_win;proba_draw;proba_lose;proba_O;proba_U
Wolves;0;2;Brentford;10/02/2024;2.1;3.6;3.4;1.75;2.05;0.37759657100295607;0.2755313194995448;0.34687197392167635;0.4338207613518453;0.5661791944569141
Fulham;3;1;Bournemouth;10/02/2024;2.38;3.5;2.8;1.73;2.08;0.5985441337367152;0.2187850255161634;0.1826653399405952;0.5456302497362532;0.4543693713537574
Tottenham;2;1;Brighton;10/02/2024;1.8;4.2;3.8;1.4;2.88;0.5052206375810269;0.22471912472538938;0.27005531581831554;0.6218279749996246;0.37817051148969416
Nott'ham Forest;2;3;Newcastle Utd;10/02/2024;3.3;3.75;2.05;1.7;2.1;0.2279856822426926;0.21073912671159725;0.5612636420861344;0.646372022564249;0.3536256214430743
West Ham;0;6;Arsenal;11/02/2024;6.0;4.33;1.53;1.67;2.15;0.25532781790389036;0.22714125861687218;0.5175267299603592;0.5974882277134372;0.4025107969223493
Aston Villa;1;2;Manchester Utd;11/02/2024;2.15;3.75;3.1;1.53;2.4;0.5257737561175059;0.22281127601171585;0.2514094147070246;0.614167465804857;0.3858312159736146
Crystal Palace;1;3;Chelsea;12/02/2024;4.2;3.8;1.85;1.86;2.04;0.29234455444185586;0.2866297198533728;0.42102563238062785;0.3825298179672673;0.6174701669731546
Brentford;1;4;Liverpool;17/02/2024;5.5;4.33;1.57;1.48;2.6;0.19373329710970902;0.2051248464984388;0.6011283250181897;0.6254158376992266;0.3745825476587807
Newcastle Utd;2;2;Bournemouth;17/02/2024;1.83;4.2;3.75;1.48;2.6;0.739439918130342;0.1501861507050474;0.1102481774905347;0.7130922835323861;0.28689977464714966
Tottenham;1;2;Wolves;17/02/2024;1.53;4.75;5.25;1.44;2.7;0.5848453104957635;0.222533977495204;0.19261601654643531;0.5443323481265595;0.45566728192260225
Burnley;0;5;Arsenal;17/02/2024;10.0;5.75;1.29;1.57;2.35;0.16082348484961118;0.2063003099720849;0.6328667768052815;0.5629259620674932;0.4370735174649605
Fulham;1;2;Aston Villa;17/02/2024;2.9;3.75;2.2;1.6;2.3;0.33137994450735975;0.24877314551965218;0.4198460961540253;0.5429054707427148;0.45709416891843535
Nott'ham Forest;2;0;West Ham;17/02/2024;2.38;3.5;2.9;1.89;2.01;0.3165426733894309;0.24201368606065757;0.4414422764380175;0.5687032858168847;0.43129613580776427
Manchester City;1;1;Chelsea;17/02/2024;1.33;5.5;8.0;1.44;2.7;0.7162646559896897;0.17750699001657277;0.10620654589044808;0.5645684305291442;0.43543103314369547
Sheffield Utd;0;5;Brighton;18/02/2024;5.0;4.2;1.62;1.57;2.35;0.16966298270625824;0.19840909337266707;0.6319114454050934;0.6158708328595973;0.3841278077870968
Luton Town;1;2;Manchester Utd;18/02/2024;4.0;4.0;1.8;1.57;2.35;0.32190277050299315;0.21550509076982197;0.46258309208410037;0.7010682335458723;0.298925402786573
Everton;1;1;Crystal Palace;19/02/2024;1.7;3.6;5.25;2.1;1.7;0.3561973748024982;0.28968423519687475;0.3541183324900233;0.38285001243925537;0.6171499723958074
Manchester City;1;0;Brentford;20/02/2024;1.18;8.0;13.0;1.33;3.4;0.792697507801837;0.13141074360185956;0.07573638609998264;0.6875915283518408;0.31240349880605456
Liverpool;4;1;Luton Town;21/02/2024;1.2;7.0;13.0;1.3;3.5;0.8151874772444915;0.10876909437364418;0.07526363768273922;0.8161438573886466;0.18379685383097666
Manchester Utd;1;2;Fulham;24/02/2024;1.57;4.33;5.5;1.57;2.35;0.4646840523548652;0.24248405150778685;0.292830458247186;0.5548571591268091;0.4451423919017804
Crystal Palace;3;0;Burnley;24/02/2024;1.95;3.5;4.0;2.1;1.7;0.4220289273310497;0.2832881455753264;0.2946828154297029;0.39446292784338177;0.6055370526740186
Brighton;1;1;Everton;24/02/2024;1.83;3.8;4.2;1.65;2.2;0.5635945162730489;0.23682636243599844;0.19957698720256412;0.49433519503927953;0.5056646599637556
Aston Villa;4;2;Nott'ham Forest;24/02/2024;1.53;4.5;5.75;1.57;2.35;0.6496041040172756;0.18895529571721292;0.16141377352944886;0.6453323568927047;0.3546653308957212
Bournemouth;0;1;Manchester City;24/02/2024;7.0;5.25;1.4;1.48;2.6;0.05139194343855213;0.10153796588646767;0.846636398681769;0.7385465245044115;0.26144070372875267
Arsenal;4;1;Newcastle Utd;24/02/2024;1.36;5.25;8.0;1.48;2.6;0.6008126266278907;0.19008795002370363;0.20905826598864638;0.7232570325404184;0.2767333770758893
Wolves;1;0;Sheffield Utd;25/02/2024;1.44;4.75;7.0;1.65;2.2;0.6350569510574845;0.2113340245029865;0.15360241573600059;0.5276033738724633;0.472396354781505
West Ham;4;2;Brentford;26/02/2024;2.5;3.5;2.75;1.7;2.1;0.41723041977522224;0.25092649888760704;0.3318423790928548;0.5333398061924297;0.46665989192848617
Fulham;3;0;Brighton;02/03/2024;2.55;3.6;2.63;1.62;2.25;0.38118924897937667;0.25347294537866366;0.3653372625822537;0.5272971955545376;0.4727025346422382
Tottenham;3;1;Crystal Palace;02/03/2024;1.5;4.33;6.5;1.53;2.4;0.570518020189195;0.22070548945931306;0.20877082933136354;0.5748234533975325;0.4251759000035865
Brentford;2;2;Chelsea;02/03/2024;3.1;3.75;2.15;1.53;2.4;0.3309079479355644;0.2705641563449838;0.3985276998874116;0.45074895371471524;0.5492509842016857
Newcastle Utd;3;0;Wolves;02/03/2024;1.91;4.0;3.6;1.57;2.35;0.5817012935912372;0.22065631412470899;0.19763700859469194;0.5597287969226347;0.4402707121782349
Nott'ham Forest;0;1;Liverpool;02/03/2024;6.0;4.33;1.53;1.48;2.6;0.11336949343441101;0.1503455795134153;0.7361503942713876;0.7219909334859221;0.2779996995122133
Everton;1;3;West Ham;02/03/2024;2.05;3.6;3.5;1.92;1.98;0.3120724737911631;0.2703602165258263;0.4175670908641747;0.44676615249358304;0.5532337901612435
Luton Town;2;3;Aston Villa;02/03/2024;4.33;4.2;1.73;1.44;2.7;0.23552314074314254;0.1975830629683706;0.5668645091096413;0.720745186475365;0.27924566104011855
Burnley;0;2;Bournemouth;03/03/2024;3.75;3.6;1.95;1.7;2.1;0.4436664178608655;0.26513015738439455;0.29120308326917427;0.45894043250972744;0.541059494473154
Manchester City;3;1;Manchester Utd;03/03/2024;1.25;5.75;11.0;1.36;3.1;0.7580693417506683;0.14753937363894187;0.0942934188019408;0.6733987333751665;0.3265974253913205
Sheffield Utd;0;6;Arsenal;04/03/2024;17.0;7.0;1.18;1.4;2.88;0.0437939957628775;0.08678603253317276;0.8685439609089065;0.7845549958247174;0.21541391703500606
Manchester Utd;2;0;Everton;09/03/2024;1.83;3.6;4.0;1.67;2.15;0.5703998001890065;0.23146636067468393;0.19813096236694808;0.5142051818541212;0.4857946069450093
Bournemouth;2;2;Sheffield Utd;09/03/2024;1.33;5.25;8.0;1.53;2.4;0.5799016982597736;0.21926052322725084;0.20083182942006675;0.5704646459899928;0.42953475675821884
