Home;Hscore;Ascore;Away;date;Odds_1;Odds_X;Odds_2;O;U;proba_win;proba_draw;proba_lose;proba_O;proba_U;
Tottenham;2;1;Brighton;10/02/2024;1.8;4.2;3.8;1.4;2.88;0.5155706993626109;0.22195051048275227;0.26247286108177037;0.6286305015746702;0.37136778745412113;
Nott'ham Forest;2;3;Newcastle Utd;10/02/2024;3.3;3.75;2.05;1.7;2.1;0.23185612618956;0.2169140520996149;0.5512219904364166;0.6212901125495366;0.3787083885459136;
West Ham;0;6;Arsenal;11/02/2024;6.0;4.33;1.53;1.67;2.15;0.2657664714043536;0.2310243068799373;0.5032059781692693;0.5885057891238142;0.4114933818989037;
Aston Villa;1;2;Manchester Utd;11/02/2024;2.15;3.75;3.1;1.53;2.4;0.5240544276496824;0.22738720258164832;0.24855425568071923;0.58992598538658;0.4100731640258823;
Crystal Palace;1;3;Chelsea;12/02/2024;4.2;3.8;1.85;1.86;2.04;0.3027535489766836;0.29001401868762977;0.40723236146968966;0.37465630785161347;0.6253436794756796;
Brentford;1;4;Liverpool;17/02/2024;5.5;4.33;1.57;1.48;2.6;0.20669915921768836;0.21475574713655146;0.5785370187775554;0.5992775095787345;0.4007214829833449;
Newcastle Utd;2;2;Bournemouth;17/02/2024;1.83;4.2;3.75;1.48;2.6;0.7442812520393266;0.1495672335047862;0.10603388767434681;0.7028411657896827;0.29715225987553057;
Tottenham;1;2;Wolves;17/02/2024;1.53;4.75;5.25;1.44;2.7;0.5977581370385429;0.2206166987013147;0.1816202462807959;0.5361411827436706;0.463858499283091;
Burnley;0;5;Arsenal;17/02/2024;10.0;5.75;1.29;1.57;2.35;0.16428046772057187;0.20771107264378325;0.6279994684244198;0.5630767656831;0.4369227124125231;
Fulham;1;2;Aston Villa;17/02/2024;2.9;3.75;2.2;1.6;2.3;0.34167578682457705;0.2521202513170038;0.40620333602378417;0.5303589053230516;0.46964080905685585;
Nott'ham Forest;2;0;West Ham;17/02/2024;2.38;3.5;2.9;1.89;2.01;0.3266823408476223;0.24757147743599947;0.42574528290101143;0.5469248322610442;0.4530747796828281;
Manchester City;1;1;Chelsea;17/02/2024;1.33;5.5;8.0;1.44;2.7;0.72025388141572;0.17594575237325946;0.10377768964278224;0.5646039424002525;0.4353955209245204;
Sheffield Utd;0;5;Brighton;18/02/2024;5.0;4.2;1.62;1.57;2.35;0.16678980582074301;0.19581119481308143;0.6373802782309278;0.6227918082312401;0.37720665172836587;
Luton Town;1;2;Manchester Utd;18/02/2024;4.0;4.0;1.8;1.57;2.35;0.327710493923227;0.22059883470115635;0.45168455547357583;0.6778433622251983;0.3221524736395796;
Everton;1;1;Crystal Palace;19/02/2024;1.7;3.6;5.25;2.1;1.7;0.3707017514130206;0.29287687001721835;0.3364213292457265;0.37129584595664794;0.628704142278429;
Manchester City;1;0;Brentford;20/02/2024;1.18;8.0;13.0;1.33;3.4;0.7925838803900394;0.13236807404335177;0.07490625903428241;0.6787162987726745;0.3212794704931806;
Liverpool;4;1;Luton Town;21/02/2024;1.2;7.0;13.0;1.3;3.5;0.8233838561400804;0.10627502625318837;0.06960284943312219;0.8057092276820508;0.19424306328642493;
Manchester Utd;1;2;Fulham;24/02/2024;1.57;4.33;5.5;1.57;2.35;0.4840301036406602;0.2431859593216568;0.2727824774393258;0.5389503122525918;0.4610493528019686;
Crystal Palace;3;0;Burnley;24/02/2024;1.95;3.5;4.0;2.1;1.7;0.44530779784968993;0.28137258867716514;0.2733194684714741;0.39225250904624764;0.6077474723720913;
Brighton;1;1;Everton;24/02/2024;1.83;3.8;4.2;1.65;2.2;0.5807180275622925;0.23169668649978578;0.18758256635934628;0.49905596966563326;0.5009438717014856;
Aston Villa;4;2;Nott'ham Forest;24/02/2024;1.53;4.5;5.75;1.57;2.35;0.6568225979461675;0.18965375320091724;0.15350045968936699;0.6253734279121497;0.37462495867979323;
Bournemouth;0;1;Manchester City;24/02/2024;7.0;5.25;1.4;1.48;2.6;0.06132630578310186;0.11490891663063448;0.823496116576153;0.7132802464827633;0.2867117840424674;
Arsenal;4;1;Newcastle Utd;24/02/2024;1.36;5.25;8.0;1.48;2.6;0.6010377093546013;0.1927654386843334;0.2061634033946976;0.7054916703947107;0.29450142683495056;
Wolves;1;0;Sheffield Utd;25/02/2024;1.44;4.75;7.0;1.65;2.2;0.6532988480333067;0.20588507764805306;0.1408083011439005;0.5253239679480436;0.4746757719902608;
West Ham;4;2;Brentford;26/02/2024;2.5;3.5;2.75;1.7;2.1;0.42558407221052447;0.2530460128625511;0.3213692789506409;0.5207847979892019;0.4792149630864337;
Fulham;3;0;Brighton;02/03/2024;2.55;3.6;2.63;1.62;2.25;0.3836083669675618;0.25320723135553463;0.36318384762364614;0.5283770997638164;0.47162262495331897;
Tottenham;3;1;Crystal Palace;02/03/2024;1.5;4.33;6.5;1.53;2.4;0.5880454845635538;0.2177370348407211;0.19421119657185898;0.5677506442444639;0.43224878734489014;
Brentford;2;2;Chelsea;02/03/2024;3.1;3.75;2.15;1.53;2.4;0.34648250042127415;0.27267041038429135;0.3808469270709647;0.44483454364494246;0.555165401183006;
Newcastle Utd;3;0;Wolves;02/03/2024;1.91;4.0;3.6;1.57;2.35;0.5923244405678137;0.2214130984563689;0.18625762654567227;0.5398017276628534;0.4601979320764169;
Nott'ham Forest;0;1;Liverpool;02/03/2024;6.0;4.33;1.53;1.48;2.6;0.12256881126649494;0.16192914855602966;0.7154244871821795;0.6879568260042144;0.3120381679021544;
Everton;1;3;West Ham;02/03/2024;2.05;3.6;3.5;1.92;1.98;0.32740540542509433;0.27444647744674217;0.3981479610452977;0.43512388945506586;0.5648760651710971;
Luton Town;2;3;Aston Villa;02/03/2024;4.33;4.2;1.73;1.44;2.7;0.24993453123746598;0.20489020541888314;0.5451565903698486;0.7003425447818704;0.2996511757637957;
Burnley;0;2;Bournemouth;03/03/2024;3.75;3.6;1.95;1.7;2.1;0.4420725957960105;0.2645933368111256;0.2933337185413261;0.46199310583693676;0.538006816623602;
Manchester City;3;1;Manchester Utd;03/03/2024;1.25;5.75;11.0;1.36;3.1;0.7556050470260836;0.15042325826947828;0.09389098767750285;0.6568121517268207;0.34318500353227255;
Sheffield Utd;0;6;Arsenal;04/03/2024;17.0;7.0;1.18;1.4;2.88;0.04780698656637558;0.09222614422873332;0.8592433220691333;0.7752762563766108;0.22469786776912956;
Manchester Utd;2;0;Everton;09/03/2024;1.83;3.6;4.0;1.67;2.15;0.5760437579676785;0.23292558115439294;0.19102808382152567;0.4988319662010936;0.5011678758399098;
Bournemouth;2;2;Sheffield Utd;09/03/2024;1.33;5.25;8.0;1.53;2.4;0.606255368270467;0.21107264860587888;0.18266333722620084;0.5798360129941752;0.4201632787016618;
Wolves;2;1;Fulham;09/03/2024;2.5;3.4;2.75;1.95;1.95;0.33226540279006783;0.2843497759055081;0.38338473814128277;0.39983308671494705;0.6001668914414914;
Crystal Palace;1;1;Luton Town;09/03/2024;1.75;3.8;4.2;1.75;2.05;0.473828582589535;0.23276723045425618;0.29340142884733605;0.6001944307439618;0.3998045449798202;
Arsenal;2;1;Brentford;09/03/2024;1.22;7.0;11.0;1.44;2.7;0.7109854373405874;0.1641114547447766;0.12483244576669038;0.6829802275577666;0.3170152004406736;
Aston Villa;0;4;Tottenham;10/03/2024;2.38;4.0;2.6;1.36;3.1;0.4643760889093388;0.22450298847916614;0.3111161816611048;0.6504669784842323;0.3495304848088127;
West Ham;2;2;Burnley;10/03/2024;1.67;4.0;4.75;1.7;2.1;0.5693765515446119;0.23594274700831244;0.1946784937424623;0.49162635664921156;0.5083735056640308;
Brighton;1;0;Nott'ham Forest;10/03/2024;1.8;4.0;4.0;1.62;2.25;0.597166153476341;0.21051172167867102;0.19231252740495636;0.597802429716011;0.4021965893615824;
Liverpool;1;1;Manchester City;10/03/2024;3.0;3.75;2.2;1.5;2.5;0.33873946500864577;0.24251502949343556;0.41874428426882876;0.5738875672028174;0.4261117971198368;
Chelsea;3;2;Newcastle Utd;11/03/2024;1.91;4.0;3.6;1.44;2.7;0.39771304801112534;0.25032197796363675;0.3519642870177211;0.5403214874876077;0.45967816896673763;
Bournemouth;4;3;Luton Town;13/03/2024;1.5;4.75;5.75;1.44;2.7;0.3880850197467209;0.2265766636907201;0.3853347082073229;0.6594977277410392;0.3404992860105051;
Luton Town;1;1;Nott'ham Forest;16/03/2024;2.8;3.5;2.45;1.67;2.15;0.46794234026555453;0.22227232177584944;0.3097797530802256;0.6608552863560399;0.3391416531752868;
Burnley;2;1;Brentford;16/03/2024;3.25;3.6;2.15;1.75;2.05;0.296647006599679;0.26416636346524053;0.4391862782183292;0.4651216123278747;0.5348783052232668;
Fulham;3;0;Tottenham;16/03/2024;3.5;3.8;1.95;1.48;2.6;0.34412745463457417;0.23901478801717452;0.4168562191516049;0.5919521031023142;0.40804701451523395;
West Ham;1;1;Aston Villa;17/03/2024;2.63;3.75;2.45;1.57;2.35;0.3493587655386457;0.2380629035534258;0.41257670641209343;0.5977448877786709;0.4022541323191697;
Newcastle Utd;4;3;West Ham;30/03/2024;1.83;4.2;3.8;1.5;2.5;0.5591906732566283;0.20962248940704395;0.2311742369866491;0.6557036873469948;0.3442935243249799;
Bournemouth;2;1;Everton;30/03/2024;2.2;3.6;3.2;1.7;2.1;0.40146887000142895;0.2676833467882849;0.3308475480719121;0.46211532953659357;0.5378845927374644;
Tottenham;2;1;Luton Town;30/03/2024;1.2;8.0;11.0;1.25;4.0;0.692587020241905;0.15717180681007972;0.15005434361958989;0.7828542621239236;0.21711568434808393;
Nott'ham Forest;1;1;Crystal Palace;30/03/2024;2.2;3.3;3.4;2.08;1.73;0.37699426505998496;0.27053801541688866;0.35246753668496106;0.45376270231814647;0.5462372317693953;
Sheffield Utd;3;3;Fulham;30/03/2024;4.5;4.0;1.73;1.65;2.2;0.14324106997072494;0.19103598435862554;0.665704371338841;0.5963487898463312;0.4036502546860423;
Chelsea;2;2;Burnley;30/03/2024;1.29;6.0;9.5;1.48;2.6;0.6006329475062978;0.2368953467162652;0.16246988901379372;0.4434364285828598;0.5565635177692907;
Aston Villa;2;0;Wolves;30/03/2024;1.6;4.33;5.0;1.57;2.35;0.5724971245408106;0.23459602641889749;0.19290448418456568;0.4946593126747788;0.5053405414291091;
Brentford;1;1;Manchester Utd;30/03/2024;3.0;3.8;2.2;1.53;2.4;0.37892006788517313;0.24656374839618703;0.37451532071103216;0.5596711552912782;0.44032835432732986;
Liverpool;2;1;Brighton;31/03/2024;1.36;5.5;7.5;1.36;3.1;0.6774872637721902;0.18031922508670226;0.14215863526912526;0.6454342072709546;0.3545634762648894;
Manchester City;0;0;Arsenal;31/03/2024;1.91;3.8;3.8;1.7;2.1;0.5681035940348723;0.21364524418484554;0.218241995272321;0.6200580324277697;0.3799405015984495;
Newcastle Utd;1;1;Everton;02/04/2024;2.0;3.75;3.5;1.67;2.2;0.6639785198046864;0.19099030046005802;0.14501209439729768;0.6005114811006281;0.3994874887363043;
Nott'ham Forest;3;1;Fulham;02/04/2024;2.7;3.4;2.63;1.8;2.0;0.30131552106710974;0.2500159855567527;0.44866764524569114;0.5259025216264988;0.4740972154913428;
Bournemouth;1;0;Crystal Palace;02/04/2024;1.95;3.8;3.6;1.73;2.1;0.3579025234559666;0.26377296755162805;0.3783242303731013;0.481851143773888;0.518148742100381;
Burnley;1;1;Wolves;02/04/2024;2.45;3.6;2.75;1.84;2.06;0.3604211494525078;0.29699577422455703;0.3425830380792167;0.35834287543438104;0.6416571157667202;
West Ham;1;1;Tottenham;02/04/2024;3.3;4.2;1.95;1.33;3.4;0.353179941188554;0.23141905355881714;0.4153984008223516;0.6313348814744757;0.36866332208061825;
Arsenal;2;0;Luton Town;03/04/2024;1.1;10.0;19.0;1.25;4.0;0.8340988230327446;0.09971339865345133;0.06517430638679297;0.8241551637505574;0.17577456156548776;
Brentford;0;0;Brighton;03/04/2024;2.38;3.8;2.75;1.57;2.38;0.3824924967038405;0.25019463176155476;0.36731219539597076;0.542413694035098;0.4575859488823033;
Manchester City;4;1;Aston Villa;03/04/2024;1.3;6.0;8.0;1.4;3.0;0.7151720156346352;0.1692764493416454;0.11550922060640252;0.6303606723363804;0.3696375624905535;
Liverpool;3;1;Sheffield Utd;04/04/2024;1.09;12.0;21.0;1.2;4.5;0.9274290128539937;0.048747500909070846;0.019943212374725763;0.8573833821755883;0.14246908086793758;
Chelsea;4;3;Manchester Utd;04/04/2024;2.0;4.0;3.4;1.4;3.0;0.4518306788433476;0.2564573310333422;0.2917114048210124;0.4938762620605257;0.5061235942065899;
Crystal Palace;2;4;Manchester City;06/04/2024;9.5;5.25;1.33;1.67;2.2;0.1026273204154322;0.1808381063907334;0.7165176126348541;0.5396648812854116;0.4603347793136589;
Luton Town;2;1;Bournemouth;06/04/2024;3.75;3.8;1.91;1.5;2.63;0.4984184957270738;0.2134908200973059;0.2880799193526512;0.6910703481908701;0.30892435289965686;
Wolves;1;2;West Ham;06/04/2024;2.5;3.6;2.7;1.8;2.0;0.3472415134790131;0.27289976939343585;0.3798585576212384;0.444013131402314;0.5559868143260005;
Fulham;0;1;Newcastle Utd;06/04/2024;2.38;3.8;2.8;1.5;2.63;0.36087496431601435;0.23167502356735292;0.40744749039352673;0.6314549017820386;0.36854329788228046;
Everton;1;0;Burnley;06/04/2024;1.65;4.0;5.25;1.8;2.0;0.4033998479365783;0.28889430741940036;0.30770577158137336;0.37959768622416257;0.620402299649996;
Aston Villa;3;3;Brentford;06/04/2024;1.7;4.0;4.75;1.53;2.5;0.5465313402648428;0.22310602134484028;0.23035738680729995;0.5905118558570885;0.40948728447956495;
Brighton;0;3;Arsenal;06/04/2024;5.0;4.33;1.62;1.62;2.3;0.23453150355259994;0.21812221858861197;0.547338977732401;0.6186220213083957;0.38137655019039385;
Manchester Utd;2;2;Liverpool;07/04/2024;4.75;4.5;1.6;1.33;3.4;0.2300542137283484;0.2180839831285867;0.5518545815106515;0.6136293307593166;0.3863693637545566;
Sheffield Utd;2;2;Chelsea;07/04/2024;7.0;5.25;1.4;1.4;3.0;0.1324197331530405;0.1860887611861367;0.681470350337167;0.5942505023117651;0.40574857781671536;
Tottenham;3;1;Nott'ham Forest;07/04/2024;1.4;5.5;6.5;1.4;3.0;0.661001242430777;0.1849713339335569;0.15399626355099247;0.6492944572567876;0.3507030591624768;
Newcastle Utd;4;0;Tottenham;13/04/2024;2.7;4.0;2.3;1.36;3.2;0.46544529277190655;0.21661041306673073;0.31793592441822355;0.6935484531518288;0.306446002371186;
Manchester City;5;1;Luton Town;13/04/2024;1.1;11.0;19.0;1.29;3.75;0.8842607331745798;0.07656721711547541;0.03779399771014441;0.8109713848447473;0.1889754101022652;
Nott'ham Forest;2;2;Wolves;13/04/2024;2.1;3.4;3.5;1.86;2.04;0.3879819564368207;0.2777718607676029;0.3342460596656475;0.4238763362820392;0.5761236276430874;
Brentford;2;0;Sheffield Utd;13/04/2024;1.44;5.0;6.5;1.53;2.5;0.7158806259817196;0.16330282839269544;0.12074821755161551;0.6756529967457069;0.3243430015654896;
Burnley;1;1;Brighton;13/04/2024;3.5;3.75;2.0;1.67;2.2;0.2741074409926219;0.2621743537487971;0.46371775815979044;0.46153045813648935;0.5384694650260917;
Bournemouth;2;2;Manchester Utd;13/04/2024;2.4;3.9;2.6;1.44;2.75;0.2597598266947874;0.2279892314191272;0.5122469731043175;0.5975265283917772;0.40247249556814574;
Liverpool;0;1;Crystal Palace;14/04/2024;1.22;7.0;12.0;1.4;3.0;0.748593995704107;0.15776235685882756;0.09359240627801871;0.6184649784784811;0.38153359705999573;
West Ham;0;2;Fulham;14/04/2024;2.38;3.6;2.8;1.67;2.2;0.432906704570782;0.2462303459663979;0.32086194256517314;0.5510158249465387;0.4489837566611277;
Arsenal;0;2;Aston Villa;14/04/2024;1.29;5.75;10.0;1.5;2.63;0.6428975482567432;0.18665084726556597;0.17041686099604023;0.6747520549919076;0.32524400824987976;
Chelsea;6;0;Everton;15/04/2024;1.7;4.2;4.5;1.53;2.5;0.5820938812714249;0.24393683000701658;0.17396795459757747;0.4346846119167306;0.5653153431113658;
Luton Town;1;5;Brentford;20/04/2024;3.1;3.75;2.15;1.57;2.38;0.34575077182891306;0.22798871509710905;0.4262571094680313;0.6467642537104478;0.3532333735638306;
Sheffield Utd;1;4;Burnley;20/04/2024;2.75;3.6;2.45;1.67;2.2;0.2867239312638788;0.2520115359680491;0.4612637394425216;0.5097801273103404;0.49021967836316127;
Wolves;0;2;Arsenal;20/04/2024;8.5;4.5;1.4;1.62;2.3;0.15499107501965306;0.21224472111062348;0.6327578343273996;0.5263721511829346;0.4736275836237498;
Everton;2;0;Nott'ham Forest;21/04/2024;2.05;3.5;3.6;1.93;1.97;0.40318270129421746;0.2716853752308549;0.32513173588874833;0.4451715044575944;0.5548284399969445;
Aston Villa;3;1;Bournemouth;21/04/2024;1.85;4.0;3.6;1.44;2.75;0.6858564886082489;0.17523301509937414;0.13886512286403638;0.6628778282421206;0.33711899723466277;
Crystal Palace;5;2;West Ham;21/04/2024;2.1;3.6;3.4;1.8;2.0;0.363117214281941;0.26494184542799487;0.37194068313222844;0.47717399503248037;0.5228259007039753;
Fulham;1;3;Liverpool;21/04/2024;5.25;4.5;1.57;1.44;2.75;0.21695629117793772;0.2205068825298212;0.5625309018195939;0.5863542818891104;0.4136449208450317;
Arsenal;5;0;Chelsea;23/04/2024;1.44;5.0;6.0;1.53;2.5;0.6069144878313171;0.2110220718004913;0.1820548088039001;0.5790687061027445;0.4209305954003899;
Wolves;0;1;Bournemouth;24/04/2024;2.7;3.6;2.5;1.67;2.2;0.469566919793376;0.26437589408388446;0.266056779033088;0.4483789926825978;0.5516209480960983;
Manchester Utd;4;2;Sheffield Utd;24/04/2024;1.3;6.5;7.5;1.36;3.2;0.7869569985051358;0.1289489884857489;0.08385044913201899;0.7355119881394511;0.26447594952484266;
Everton;2;0;Liverpool;24/04/2024;7.0;5.0;1.4;1.53;2.5;0.12457903213470724;0.18956599814986622;0.6858396239951672;0.5592392234919428;0.4407602899893629;
Crystal Palace;2;0;Newcastle Utd;24/04/2024;2.75;3.6;2.4;1.57;2.38;0.27835428624914027;0.23685495770644388;0.4847885859737183;0.5712212634677832;0.4287781309877034;
Brighton;0;4;Manchester City;25/04/2024;6.5;5.0;1.4;1.5;2.63;0.14689646338983456;0.19559627400199414;0.6574923238154751;0.5832531950495584;0.4167460513005386;
West Ham;2;2;Liverpool;27/04/2024;5.5;5.0;1.5;1.36;3.2;0.1920215049226618;0.20095329178359253;0.6070078373612416;0.6427713053951007;0.357226486782865;
Wolves;2;1;Luton Town;27/04/2024;1.95;3.8;3.6;1.62;2.3;0.4743884026465804;0.24208793559241454;0.2835221416505581;0.5510095738588682;0.4489900077968672;
Fulham;1;1;Crystal Palace;27/04/2024;2.1;3.5;3.5;1.73;2.1;0.4767156854455991;0.25764852673306576;0.2656351783160713;0.47393601027386534;0.526063891808892;
Manchester Utd;1;1;Burnley;27/04/2024;1.5;4.75;5.5;1.36;3.2;0.5795332360862662;0.2249695648518591;0.19549306421477683;0.5379355096672443;0.4620641616174786;
Newcastle Utd;5;1;Sheffield Utd;27/04/2024;1.22;7.0;11.0;1.33;3.4;0.8533955632476844;0.09185928421270322;0.053694332702200906;0.8128781424903915;0.18706649322783087;
Everton;1;0;Brentford;27/04/2024;2.3;3.5;3.0;1.87;2.03;0.2956530828590042;0.26854726786197375;0.43579937955711534;0.4477624144552718;0.5522375270473966;
Aston Villa;2;2;Chelsea;27/04/2024;2.15;3.8;3.0;1.44;2.75;0.44008179212481896;0.24602416044544276;0.3138929980089869;0.5492316997921577;0.4507678953189842;
Tottenham;2;3;Arsenal;28/04/2024;4.2;4.2;1.75;1.5;2.63;0.26355502669496667;0.21738984574576792;0.519047040563747;0.6517661026343624;0.34823130045717915;
Bournemouth;3;0;Brighton;28/04/2024;2.25;3.8;2.9;1.44;2.75;0.2685527632355032;0.2387459244021871;0.49269935445053004;0.555507996359284;0.44449154927695533;
Nott'ham Forest;0;2;Manchester City;28/04/2024;8.0;6.0;1.3;1.53;2.5;0.07474240185999574;0.13355485068476944;0.7915721531635677;0.6715231606336242;0.3284731266370684;
Chelsea;2;0;Tottenham;02/05/2024;2.15;3.8;3.0;1.3;3.5;0.4371368545187575;0.2394436850917405;0.32341787010000994;0.583470242594575;0.4165290007807913;
Luton Town;1;1;Everton;03/05/2024;2.6;3.6;2.55;1.73;2.1;0.4247364481748507;0.2453746535666679;0.3298878663243951;0.5579960302997012;0.44200349413429474;
Arsenal;3;0;Bournemouth;04/05/2024;1.22;7.5;11.0;1.33;3.4;0.8251573020683736;0.1118212497058976;0.06266683235007428;0.7384563164414245;0.2615309334993916;
Burnley;1;4;Newcastle Utd;04/05/2024;3.4;4.0;1.95;1.5;2.63;0.23695498350483996;0.22958015278801275;0.5334613218044278;0.5682049484634986;0.4317944783949407;
Sheffield Utd;1;3;Nott'ham Forest;04/05/2024;4.75;4.2;1.65;1.57;2.38;0.2753115394743152;0.22549427487440013;0.49918952838681024;0.622319275276552;0.3776791977470775;
Brentford;0;0;Fulham;04/05/2024;2.1;3.8;3.2;1.57;2.38;0.4241837745564267;0.25376672040482573;0.3220489005389976;0.5178646873564652;0.4821350864305223;
Manchester City;5;1;Wolves;04/05/2024;1.08;12.0;21.0;1.3;3.5;0.8175883718261091;0.12918506374611197;0.05314882939493004;0.593693029037505;0.40630606032583416;
Brighton;1;0;Aston Villa;05/05/2024;2.75;3.75;2.45;1.5;2.63;0.35602841596808693;0.24291372589619073;0.40105672209086496;0.5755603450598286;0.4244389996126255;
Chelsea;5;0;West Ham;05/05/2024;1.65;4.5;4.5;1.4;3.0;0.5206785898886529;0.23321859012837975;0.24609998198935365;0.5610207958688671;0.43897870148617696;
Liverpool;4;2;Tottenham;05/05/2024;1.5;5.75;5.0;1.25;4.0;0.6329176004337439;0.1878179865492227;0.1792286829318992;0.6855539566651477;0.31444125186346555;
Crystal Palace;4;0;Manchester Utd;06/05/2024;2.38;3.75;2.8;1.53;2.5;0.354451054428304;0.25807535841554197;0.3874731808420854;0.505986823565513;0.4940129955346783;
Fulham;0;4;Manchester City;11/05/2024;13.0;7.0;1.2;1.36;3.2;0.13116074060365845;0.1897654132086251;0.6790570600254242;0.5742704627910975;0.4257288970853179;
Wolves;1;3;Crystal Palace;11/05/2024;2.88;3.5;2.38;1.8;2.0;0.36117286891788486;0.2964566303470316;0.34237046127808174;0.3600599698648908;0.6399400209873171;
West Ham;3;1;Luton Town;11/05/2024;1.8;4.2;3.8;1.44;2.75;0.5888830555666906;0.19442423901630707;0.21666030083032517;0.7123105891137099;0.2876815830126818;
Tottenham;2;1;Burnley;11/05/2024;1.36;5.75;7.0;1.25;4.0;0.6312204779149483;0.20277195045894789;0.16599536564977738;0.5885886458184342;0.4114105239585066;
Everton;1;0;Sheffield Utd;11/05/2024;1.4;4.8;7.5;1.53;2.5;0.61177667657112;0.21428785624413513;0.17392877369276896;0.5510472320234986;0.4489523493425747;
Newcastle Utd;1;1;Brighton;11/05/2024;1.57;4.75;4.75;1.33;3.4;0.5559211585151417;0.21374128043218785;0.23032798633298612;0.6346853828038478;0.36531270890624157;
Bournemouth;1;2;Brentford;11/05/2024;1.95;4.0;3.5;1.44;2.75;0.3146900785044768;0.2497635032394183;0.43554560400786063;0.532811848693992;0.4671878523704415;
Nott'ham Forest;2;3;Chelsea;11/05/2024;3.4;3.8;2.0;1.5;2.63;0.24689518781385963;0.24027412315884267;0.5128288573472145;0.5308515011870654;0.469148210565755;
Manchester Utd;0;1;Arsenal;12/05/2024;7.0;5.5;1.36;1.36;3.2;0.22467650691433416;0.2121881425006219;0.5631249919249408;0.6352499238195712;0.3647481483701639;
Aston Villa;3;3;Liverpool;13/05/2024;4.2;4.33;1.7;1.33;3.4;0.2950772408746501;0.2264918403087095;0.47842667709388;0.6314303846585836;0.36856781580120845;
Tottenham;0;2;Manchester City;14/05/2024;6.5;6.0;1.36;1.25;4.0;0.15711496002054465;0.18575922897557087;0.657094846732764;0.6521012670083225;0.3478961203192292;
Brighton;1;2;Chelsea;15/05/2024;3.3;4.0;1.95;1.4;3.0;0.3550432698628849;0.25948861765536646;0.38546774267418477;0.49990646630515323;0.5000933724781905;
Manchester Utd;3;2;Newcastle Utd;15/05/2024;2.75;4.0;2.3;1.33;3.4;0.36402783249923426;0.22551704620763724;0.41045115438166996;0.6632029142212547;0.33679389252588965;
Luton Town;2;4;Fulham;19/05/2024;2.9;3.9;2.2;1.44;2.75;0.310440153564728;0.22800949161910156;0.4615466618178914;0.6328097968620767;0.36718835829034685;
Sheffield Utd;0;3;Tottenham;19/05/2024;7.0;6.0;1.33;1.22;4.33;0.12105490535354053;0.15133777628571868;0.727455785302781;0.7396229029575198;0.2603640632473457;
Manchester City;3;1;West Ham;19/05/2024;1.08;12.0;21.0;1.2;4.5;0.8318669750012694;0.10988768624810355;0.05791778005086425;0.7249230334182775;0.27506707378807205;
Arsenal;2;1;Everton;19/05/2024;1.18;8.0;12.0;1.36;3.2;0.7806418908649415;0.14620801823539809;0.07309284556515926;0.599091111774125;0.4009078841773115;
Brighton;0;2;Manchester Utd;19/05/2024;2.15;4.0;2.9;1.33;3.4;0.4275536604350053;0.246031753642437;0.3264135867377494;0.5538600064345539;0.4461395527349131;
Brentford;2;4;Newcastle Utd;19/05/2024;2.9;3.9;2.2;1.36;3.2;0.3331716343187184;0.23399638750335855;0.43282971106058404;0.6131503621314346;0.38684834361468157;
Chelsea;2;1;Bournemouth;19/05/2024;1.45;5.0;6.0;1.29;3.75;0.663249298903975;0.19237479168922383;0.14435847363585574;0.5925970991860002;0.4074020080660002;
Crystal Palace;5;0;Aston Villa;19/05/2024;1.85;4.33;3.6;1.4;3.0;0.32628099121202925;0.2529992429938233;0.42071914102388;0.5225466715917558;0.4774530814841405;
Liverpool;2;0;Wolves;19/05/2024;1.17;8.0;15.0;1.22;4.33;0.7490104510239615;0.16053264451701463;0.09041664259502502;0.5940996056887163;0.40589947694854045;
Burnley;1;2;Nott'ham Forest;19/05/2024;3.0;3.5;2.3;1.53;2.5;0.42048561114910565;0.26188742679325794;0.31762659884216393;0.48211031081982125;0.5178895744827592;
