Home;Hscore;Ascore;Away;date;Odds_1;Odds_X;Odds_2;O;U;proba_win;proba_draw;proba_lose;proba_O;proba_U;
Luton Town;1;1;Wolves;23/09/2023;3.25;3.4;2.2;2.02;1.88;;;;;;
Crystal Palace;0;0;Fulham;23/09/2023;1.91;3.4;4.2;2.0;1.8;;;;;;
Brentford;1;3;Everton;23/09/2023;1.8;3.8;4.2;1.95;1.95;;;;;;
Burnley;0;1;Manchester Utd;23/09/2023;4.2;4.2;1.73;1.62;2.3;;;;;;
Arsenal;2;2;Tottenham;24/09/2023;1.67;4.33;4.33;1.5;2.63;;;;;;
Brighton;3;1;Bournemouth;24/09/2023;1.36;5.25;7.5;1.36;3.2;;;;;;
Chelsea;0;1;Aston Villa;24/09/2023;1.91;3.75;3.8;1.73;2.1;;;;;;
Liverpool;3;1;West Ham;24/09/2023;1.4;5.0;7.0;1.4;3.0;;;;;;
Sheffield Utd;0;8;Newcastle Utd;24/09/2023;7.0;4.75;1.44;1.67;2.2;;;;;;
Aston Villa;6;1;Brighton;30/09/2023;2.55;3.75;2.55;1.44;2.75;;;;;;
Wolves;2;1;Manchester City;30/09/2023;8.0;5.75;1.33;1.53;2.5;;;;;;
Bournemouth;0;4;Arsenal;30/09/2023;5.5;4.5;1.53;1.53;2.5;;;;;;
Everton;1;2;Luton Town;30/09/2023;1.57;3.8;6.5;2.05;1.85;;;;;;
Newcastle Utd;2;0;Burnley;30/09/2023;1.3;5.75;9.0;1.53;2.5;;;;;;
West Ham;2;0;Sheffield Utd;30/09/2023;1.45;4.5;7.0;1.67;2.2;;;;;;
Manchester Utd;0;1;Crystal Palace;30/09/2023;1.55;4.2;5.75;1.8;2.0;;;;;;
Tottenham;2;1;Liverpool;30/09/2023;2.9;4.0;2.15;1.36;3.2;;;;;;
Nott'ham Forest;1;1;Brentford;01/10/2023;2.75;3.1;2.7;2.1;1.73;;;;;;
Fulham;0;2;Chelsea;02/10/2023;3.6;3.5;2.05;1.98;1.92;;;;;;
Luton Town;1;2;Burnley;03/10/2023;2.9;3.0;2.63;2.2;1.65;;;;;;
Luton Town;0;1;Tottenham;07/10/2023;6.0;4.75;1.45;1.53;2.4;;;;;;
Everton;3;0;Bournemouth;07/10/2023;1.91;3.6;3.8;1.85;2.05;;;;;;
Manchester Utd;2;1;Brentford;07/10/2023;1.67;4.2;4.75;1.65;2.2;;;;;;
Burnley;1;4;Chelsea;07/10/2023;4.5;3.8;1.73;1.85;2.05;;;;;;
Fulham;3;1;Sheffield Utd;07/10/2023;1.62;3.8;6.0;1.96;1.94;;;;;;
Crystal Palace;0;0;Nott'ham Forest;07/10/2023;2.2;3.1;3.6;2.25;1.62;;;;;;
West Ham;2;2;Newcastle Utd;08/10/2023;3.2;3.75;2.1;1.7;2.1;;;;;;
Wolves;1;1;Aston Villa;08/10/2023;3.5;3.4;2.1;1.75;2.05;;;;;;
Brighton;2;2;Liverpool;08/10/2023;3.0;3.8;2.2;1.36;3.1;;;;;;
Arsenal;1;0;Manchester City;08/10/2023;2.9;3.3;2.4;1.75;2.05;;;;;;
Liverpool;2;0;Everton;21/10/2023;1.33;5.75;7.5;1.4;2.88;;;;;;
Bournemouth;1;2;Wolves;21/10/2023;2.38;3.4;3.0;1.85;2.05;;;;;;
Newcastle Utd;4;0;Crystal Palace;21/10/2023;1.45;4.5;7.0;1.85;2.05;;;;;;
Brentford;3;0;Burnley;21/10/2023;1.83;3.75;4.2;1.95;1.95;;;;;;
Manchester City;2;1;Brighton;21/10/2023;1.4;5.25;6.5;1.36;3.1;;;;;;
Nott'ham Forest;2;2;Luton Town;21/10/2023;1.67;3.75;5.5;2.08;1.82;;;;;;
Chelsea;2;2;Arsenal;21/10/2023;3.2;3.4;2.25;1.98;1.92;;;;;;
Sheffield Utd;1;2;Manchester Utd;21/10/2023;6.5;5.25;1.4;1.53;2.4;;;;;;
Aston Villa;4;1;West Ham;22/10/2023;1.85;3.6;4.0;1.57;2.35;;;;;;
Tottenham;2;0;Fulham;23/10/2023;1.5;4.5;6.0;1.5;2.5;;;;;;
Crystal Palace;1;2;Tottenham;27/10/2023;4.5;3.75;1.75;1.94;1.96;;;;;;
Chelsea;0;2;Brentford;28/10/2023;1.65;4.0;5.25;1.8;2.0;;;;;;
Bournemouth;2;1;Burnley;28/10/2023;2.15;3.5;3.3;1.75;2.05;;;;;;
Arsenal;5;0;Sheffield Utd;28/10/2023;1.13;8.5;19.0;1.36;3.1;;;;;;
Wolves;2;2;Newcastle Utd;28/10/2023;4.2;4.0;1.75;1.75;2.05;;;;;;
West Ham;0;1;Everton;29/10/2023;2.15;3.5;3.3;1.73;2.08;;;;;;
Liverpool;3;0;Nott'ham Forest;29/10/2023;1.29;5.75;11.0;1.4;2.88;;;;;;
Brighton;1;1;Fulham;29/10/2023;1.55;4.2;5.5;1.5;2.5;;;;;;
Aston Villa;3;1;Luton Town;29/10/2023;1.25;6.5;9.5;1.48;2.6;;;;;;
Manchester Utd;0;3;Manchester City;29/10/2023;5.0;3.8;1.67;1.7;2.1;;;;;;
Fulham;0;1;Manchester Utd;04/11/2023;3.2;3.6;2.2;1.75;2.05;;;;;;
Brentford;3;2;West Ham;04/11/2023;2.05;3.6;3.5;1.73;2.08;;;;;;
Everton;1;1;Brighton;04/11/2023;3.1;3.6;2.2;1.57;2.35;;;;;;
Burnley;0;2;Crystal Palace;04/11/2023;2.75;3.25;2.6;2.2;1.65;;;;;;
Manchester City;6;1;Bournemouth;04/11/2023;1.1;11.0;19.0;1.29;3.6;;;;;;
Sheffield Utd;2;1;Wolves;04/11/2023;3.8;3.5;2.0;1.91;1.99;;;;;;
Newcastle Utd;1;0;Arsenal;04/11/2023;2.8;3.2;2.6;1.95;1.95;;;;;;
Nott'ham Forest;2;0;Aston Villa;05/11/2023;4.2;3.75;1.85;1.73;2.08;;;;;;
Luton Town;1;1;Liverpool;05/11/2023;12.0;6.5;1.22;1.36;3.1;;;;;;
Tottenham;1;4;Chelsea;06/11/2023;2.0;3.75;3.5;1.7;2.1;;;;;;
Wolves;2;1;Tottenham;11/11/2023;3.1;3.75;2.2;1.62;2.25;;;;;;
Arsenal;3;1;Burnley;11/11/2023;1.18;7.0;17.0;1.48;2.6;;;;;;
