teams,def_coef
Arsenal,-1.015655124244219
Aston Villa,-0.8326258947830601
Bournemouth,-0.5651096950857027
Brentford,-0.8165328158874179
Brighton,-0.8221694848807708
Burnley,-0.6396260449492043
Chelsea,-0.9893186809448798
Crystal Palace,-0.8290145867866752
Everton,-0.7646926594183565
Fulham,-0.7887839001705043
Liverpool,-1.1966739721924196
Luton Town,-0.45297619636312686
Manchester City,-1.3010342687998215
Manchester Utd,-0.8892131727658201
Newcastle Utd,-0.8528043653771212
Nott'ham Forest,-0.6283532489817726
Sheffield Utd,-0.22461562456050244
Tottenham,-0.8627934754435221
West Ham,-0.7662533170974808
Wolves,-0.8771306263521199
