teams,att_coef
Arsenal,1.4269828451602637
Aston Villa,1.1741048243579852
Bournemouth,0.6174834314311969
Brentford,1.0825744663570436
Brighton,1.2459770304264632
Burnley,0.6256962861145909
Chelsea,0.9929962387478306
Crystal Palace,0.8054828663912782
Everton,0.7002475774377035
Fulham,0.9009697502356021
Liverpool,1.4849493230590531
Luton Town,0.6857852559563832
Manchester City,1.623218729272867
Manchester Utd,1.1279772187297172
Newcastle Utd,1.2594496990466137
Nott'ham Forest,0.7306110024916216
Sheffield Utd,0.5975302359110705
Tottenham,1.2704312243877314
West Ham,1.0223595630121043
Wolves,0.6251724314728759
