teams,def_coef
Arsenal,-1.021133236824186
Aston Villa,-0.9005338876498415
Bournemouth,-0.5412529446162526
Brentford,-0.9710803489015057
Brighton,-0.8883236248234138
Burnley,-0.746713888974452
Chelsea,-1.1805372422425273
Crystal Palace,-0.9869585444070954
Everton,-0.7911930721263836
Fulham,-0.893756180413457
Liverpool,-1.232094493035735
Luton Town,-0.530979842984415
Manchester City,-1.436648074709688
Manchester Utd,-0.9404600630345109
Newcastle Utd,-1.0283374486440415
Nott'ham Forest,-0.7440145710447891
Sheffield Utd,-0.23106732219308204
Tottenham,-0.9992975062090712
West Ham,-0.869422734184288
Wolves,-0.9561324009624219
