teams,def_coef
Arsenal,-0.9980894657646981
Aston Villa,-0.8880683727237795
Bournemouth,-0.5809947251475276
Brentford,-0.8907508777078155
Brighton,-0.840773486044632
Burnley,-0.7353607330783662
Chelsea,-1.0538217561160854
Crystal Palace,-0.920232750832448
Everton,-0.7729420181583069
Fulham,-0.7948661335284659
Liverpool,-1.2334411324792232
Luton Town,-0.5149080019707243
Manchester City,-1.3124032447665013
Manchester Utd,-0.9202372603058826
Newcastle Utd,-0.9547678267091881
Nott'ham Forest,-0.6469914803099163
Sheffield Utd,-0.3505236917000153
Tottenham,-0.8957341179001421
West Ham,-0.8515747257164704
Wolves,-0.9189825067550775
