teams,def_coef
Arsenal,-1.2241665676280247
Aston Villa,-0.814661637519829
Bournemouth,-0.5356476096564902
Brentford,-0.6213909080006851
Brighton,-0.7133024344891623
Burnley,-0.43415477131330193
Chelsea,-0.6610928260922472
Crystal Palace,-0.6399983130430125
Everton,-0.768663115581412
Fulham,-0.7277939355277063
Liverpool,-1.1586517996811392
Luton Town,-0.39204892982326567
Manchester City,-1.2413168207128935
Manchester Utd,-0.8632839020208962
Newcastle Utd,-0.6322539689483816
Nott'ham Forest,-0.6237972639634294
Sheffield Utd,-0.1605387462900023
Tottenham,-0.6763716757916718
West Ham,-0.5579499813129284
Wolves,-0.7345943346882199
