teams,att_coef
Arsenal,1.579539329506869
Aston Villa,0.9946029025518075
Bournemouth,0.789668124256753
Brentford,1.1108203247814008
Brighton,1.3585736112837732
Chelsea,0.6900258402910344
Crystal Palace,0.7382633867121398
Everton,0.4902133767776102
Fulham,0.9988755270817695
Leeds United,0.9654357323564238
Leicester City,1.0191141941024429
Liverpool,1.3632692719413853
Manchester City,1.6500651503633954
Manchester Utd,1.0960753314624807
Newcastle Utd,1.292564165392715
Nott'ham Forest,0.6087770530367977
Southampton,0.5344274943550558
Tottenham,1.336379869639828
West Ham,0.8206939515978648
Wolves,0.5626153625084579
