teams,att_coef
Arsenal,0.8574572952770171
Aston Villa,0.25544416117430835
Bournemouth,0.30366152049991246
Brentford,-0.018151423975849866
Brighton,0.611864228545987
Burnley,0.019798760249877832
Chelsea,0.5618002099286781
Crystal Palace,0.11661172116597887
Everton,0.09252118404452084
Fulham,0.40572210456837837
Liverpool,0.7296404705162776
Luton Town,0.5427550946008992
Manchester City,0.1736356342616499
Manchester Utd,0.47493537901693206
Newcastle Utd,0.883441279516454
Nott'ham Forest,0.28494968620516054
Sheffield Utd,0.22114589218967043
Tottenham,0.6199298575902163
West Ham,0.4405578694252184
Wolves,0.34392386522560026
