teams,def_coef
Arsenal,-0.9920107755895505
Aston Villa,-0.8582874476416104
Bournemouth,-0.4866007335657839
Brentford,-0.7416379783689353
Brighton,-0.7935660738127356
Burnley,-0.6613522008813671
Chelsea,-0.9699093424494999
Crystal Palace,-0.7530901185227402
Everton,-0.7177365800228122
Fulham,-0.763824902565718
Liverpool,-1.0826459234691324
Luton Town,-0.43722494662952094
Manchester City,-1.2693310529502992
Manchester Utd,-0.8022925786048686
Newcastle Utd,-0.8063255643224913
Nott'ham Forest,-0.5629795920172934
Sheffield Utd,-0.22572246777664778
Tottenham,-0.7778269318753106
West Ham,-0.7374789904946357
Wolves,-0.8155918245980499
