teams,att_coef
Arsenal,0.6411189311851042
Aston Villa,0.7060754137281235
Bournemouth,0.5696637309024066
Brentford,0.4550445518639057
Brighton,0.7392512589070248
Burnley,-0.0663219093025117
Chelsea,0.4737329073375355
Crystal Palace,0.05023080325380974
Everton,0.23434157378464
Fulham,0.5108123822865982
Liverpool,0.4005132339093638
Luton Town,0.5906754977229927
Manchester City,0.09387719314026899
Manchester Utd,0.2082508881317851
Newcastle Utd,0.6946249990335227
Nott'ham Forest,-0.03165633307211135
Sheffield Utd,-0.4768634314562027
Tottenham,0.4747465247627124
West Ham,0.4318354634972247
Wolves,0.4967047484652942
