teams,att_coef
Arsenal,1.502864534237766
Aston Villa,0.9799308106765271
Bournemouth,0.7191170505912338
Brentford,1.1210229536176715
Brighton,1.349042254257305
Chelsea,0.6879960005586965
Crystal Palace,0.7610043217851341
Everton,0.599984026051605
Fulham,1.066676727803949
Leeds United,0.9710478571098001
Leicester City,1.0170692150948093
Liverpool,1.344996095697434
Manchester City,1.6381910799394297
Manchester Utd,1.0673379556913893
Newcastle Utd,1.306328983841404
Nott'ham Forest,0.7116749913923488
Southampton,0.5609738006129084
Tottenham,1.2965347183383507
West Ham,0.7776066485382188
Wolves,0.5205999741640185
