teams,def_coef
Arsenal,-1.0185772333886698
Aston Villa,-0.9000008203913251
Bournemouth,-0.5631743330103314
Brentford,-0.9642287043069245
Brighton,-0.8869192411305147
Burnley,-0.7390150337112683
Chelsea,-1.1517496959410727
Crystal Palace,-0.9626568492581097
Everton,-0.7832527562825288
Fulham,-0.8740897683769154
Liverpool,-1.2434601005451547
Luton Town,-0.5966824170118653
Manchester City,-1.382746093922812
Manchester Utd,-0.9482669351107027
Newcastle Utd,-1.0172790240608631
Nott'ham Forest,-0.7271273630900744
Sheffield Utd,-0.3101637219169799
Tottenham,-0.955501451022502
West Ham,-0.8577586040548901
Wolves,-0.9578789446987609
