teams,def_coef
Arsenal,-1.1827238504925486
Aston Villa,-0.9460043371520902
Bournemouth,-0.5285126278218343
Brentford,-0.9497208377719245
Brighton,-0.6711517532411089
Burnley,-0.41445308125267816
Chelsea,-0.8342511832698358
Crystal Palace,-0.8549574669657014
Everton,-0.782120006425288
Fulham,-0.7235657954365944
Liverpool,-1.1651631820390322
Luton Town,-0.5758903288335027
Manchester City,-1.1429311565127005
Manchester Utd,-1.0524636601781532
Newcastle Utd,-1.1877586899163803
Nott'ham Forest,-0.7196340099278242
Sheffield Utd,-0.13956060613402738
Tottenham,-0.7623672193262945
West Ham,-0.6873776344285066
Wolves,-0.7339174987490699
