teams,def_coef
Arsenal,-1.5567182987186872
Aston Villa,-0.7443552430974629
Bournemouth,-0.6214416517038108
Brentford,-0.7062144202008682
Brighton,-0.737081516139881
Burnley,-0.4870830687121227
Chelsea,-0.5848552858687804
Crystal Palace,-0.7658126863070852
Everton,-0.9109218906973359
Fulham,-0.7140898922539702
Liverpool,-0.9237126116939888
Luton Town,-0.3147048127845788
Manchester City,-1.3325778855818018
Manchester Utd,-0.643386241035481
Newcastle Utd,-0.6532058006605685
Nott'ham Forest,-0.5495638104503712
Sheffield Utd,-0.09716709061088145
Tottenham,-0.5541282532586655
West Ham,-0.3864896684742727
Wolves,-0.5746854994666835
