teams,def_coef
Arsenal,-1.0922695984279902
Aston Villa,-0.9944464702061119
Bournemouth,-0.6013375106605555
Brentford,-0.9446309933113975
Brighton,-0.942918785407951
Chelsea,-1.075701763770028
Crystal Palace,-0.9828448973027408
Everton,-0.8067802801659633
Fulham,-0.9417620388225528
Leeds United,-0.5451385252877723
Leicester City,-0.6595216293524336
Liverpool,-1.0278512829444417
Manchester City,-1.2624074132498397
Manchester Utd,-1.069770246399255
Newcastle Utd,-1.36885880221032
Nott'ham Forest,-0.6526749909010061
Southampton,-0.6705100796436549
Tottenham,-0.7132045684804142
West Ham,-0.8659424132001698
Wolves,-0.8686079880005777
