teams,def_coef
Arsenal,-0.9899755871187955
Aston Villa,-0.7887657938253865
Bournemouth,-0.48211555406589945
Brentford,-0.7015473027227375
Brighton,-0.7666375277261651
Burnley,-0.6235947187321217
Chelsea,-0.94524331247081
Crystal Palace,-0.7249437644793573
Everton,-0.6795562115610001
Fulham,-0.764841041082457
Liverpool,-1.064329440723396
Luton Town,-0.39237585682952325
Manchester City,-1.2926114501812358
Manchester Utd,-0.7574389167572095
Newcastle Utd,-0.7586602563761369
Nott'ham Forest,-0.5426986921849836
Sheffield Utd,-0.1956151313581929
Tottenham,-0.7637996503208463
West Ham,-0.692692442359069
Wolves,-0.7828184169757955
