teams,def_coef
Arsenal,-1.0334454373754514
Aston Villa,-0.840236040021062
Bournemouth,-0.5496699676050595
Brentford,-0.8073859522712059
Brighton,-0.8211084816923858
Burnley,-0.6376966943382091
Chelsea,-0.9660828348054301
Crystal Palace,-0.8265740954693737
Everton,-0.7555006300988683
Fulham,-0.7807150628635023
Liverpool,-1.1924387850809417
Luton Town,-0.4365086775691288
Manchester City,-1.313542482463322
Manchester Utd,-0.8883152538377113
Newcastle Utd,-0.821142444246895
Nott'ham Forest,-0.6348999601456776
Sheffield Utd,-0.21034342712253634
Tottenham,-0.8484322514752987
West Ham,-0.7511229255845121
Wolves,-0.8712232614694017
