teams,att_coef
Arsenal,1.3940549714239359
Aston Villa,1.1537793418212021
Bournemouth,0.7506511596452858
Brentford,1.0119750305599124
Brighton,1.20766436507986
Burnley,0.6692355238338437
Chelsea,1.0327689240673326
Crystal Palace,0.763985961442412
Everton,0.7321729969675806
Fulham,1.0570826959618698
Liverpool,1.4622541982078525
Luton Town,0.8383491763220225
Manchester City,1.5906862604782648
Manchester Utd,1.07234589739622
Newcastle Utd,1.2141834401671534
Nott'ham Forest,0.7096833075766439
Sheffield Utd,0.44180368948967713
Tottenham,1.2585736581414761
West Ham,1.0080601984867708
Wolves,0.6306892029306844
