teams,att_coef
Arsenal,1.402766024136967
Aston Villa,1.184740126052998
Bournemouth,0.8461604458716251
Brentford,0.9573392265859535
Brighton,1.0599116123102763
Burnley,0.7086914838893457
Chelsea,1.0006380573692297
Crystal Palace,0.6993349073536157
Everton,0.6327361845195144
Fulham,0.9029487394048963
Liverpool,1.3571011745556483
Luton Town,1.0202529310488133
Manchester City,1.4264934612807199
Manchester Utd,0.9682495728800402
Newcastle Utd,1.3214610767389605
Nott'ham Forest,0.819021084408279
Sheffield Utd,0.5766083110496202
Tottenham,1.2820007289607829
West Ham,0.8697542840648375
Wolves,0.9637905675178781
