teams,def_coef
Arsenal,-1.022349596478533
Aston Villa,-0.9348536825432731
Bournemouth,-0.5943192393501265
Brentford,-0.9525265704231042
Brighton,-0.8623097375985758
Burnley,-0.7351074421558511
Chelsea,-1.0934462938983223
Crystal Palace,-0.9414558447678953
Everton,-0.8052724623637948
Fulham,-0.8381609774121486
Liverpool,-1.2405125822958623
Luton Town,-0.5405930364925458
Manchester City,-1.3238897841192734
Manchester Utd,-0.9625733458717615
Newcastle Utd,-0.9859407887784912
Nott'ham Forest,-0.6701282467332194
Sheffield Utd,-0.2944489118405176
Tottenham,-0.9422037962139821
West Ham,-0.8373308992201174
Wolves,-0.9283075510761942
