teams,att_coef
Arsenal,1.4096044678751605
Aston Villa,1.198728369911839
Bournemouth,0.7648256145565363
Brentford,0.9512700051790428
Brighton,1.0345791937071784
Burnley,0.6881334781755195
Chelsea,0.9437388789754206
Crystal Palace,0.7491611982006585
Everton,0.6743097263701419
Fulham,0.9528615103750465
Liverpool,1.470569932979666
Luton Town,0.9463524675226784
Manchester City,1.5962865853648371
Manchester Utd,1.0635686986228732
Newcastle Utd,1.2432015071019007
Nott'ham Forest,0.8592699199031226
Sheffield Utd,0.5229679000343012
Tottenham,1.209576069257549
West Ham,1.0501918375114692
Wolves,0.6708026383750595
