teams,def_coef
Arsenal,-0.9699586729425989
Aston Villa,-0.8521398840497556
Bournemouth,-0.4749068131620279
Brentford,-0.7515553189620257
Brighton,-0.8125428379475845
Burnley,-0.785762194786386
Chelsea,-1.0382778860800723
Crystal Palace,-0.8324258933468894
Everton,-0.6732911121130224
Fulham,-0.7934711889690402
Liverpool,-1.0523287863745534
Luton Town,-0.44927487664524435
Manchester City,-1.3101357472979887
Manchester Utd,-0.7487185878962347
Newcastle Utd,-0.820111129958531
Nott'ham Forest,-0.5301779614995812
Sheffield Utd,-0.3547224676636922
Tottenham,-0.7925288876920202
West Ham,-0.8215525868731921
Wolves,-0.8134652592312703
