teams,def_coef
Arsenal,-1.078966750181101
Aston Villa,-0.8910570997406986
Bournemouth,-0.5369186016059493
Brentford,-0.7408145539228131
Brighton,-0.7589916543952343
Burnley,-0.5317537332525641
Chelsea,-0.8290383426413392
Crystal Palace,-0.7194011163369551
Everton,-0.8111734195440067
Fulham,-0.7395757415833191
Liverpool,-1.1489730396394708
Luton Town,-0.4590530688355341
Manchester City,-1.1767363314558117
Manchester Utd,-0.8919957991387546
Newcastle Utd,-0.817556465383934
Nott'ham Forest,-0.6050556952662524
Sheffield Utd,-0.22020991231295986
Tottenham,-0.740813780848122
West Ham,-0.6910196622199246
Wolves,-0.7886975876418637
