teams,def_coef
Arsenal,-1.0169966467338778
Aston Villa,-0.8993519519638088
Bournemouth,-0.5391925003792808
Brentford,-0.9720524388182168
Brighton,-0.8863205061801602
Burnley,-0.7511212095551355
Chelsea,-1.1832260241831303
Crystal Palace,-0.9869295572042026
Everton,-0.7939078905596416
Fulham,-0.8885704520588268
Liverpool,-1.2275693443315072
Luton Town,-0.526043135054393
Manchester City,-1.436483753641371
Manchester Utd,-0.9366200545040626
Newcastle Utd,-1.0310142371085436
Nott'ham Forest,-0.7410255233677402
Sheffield Utd,-0.22530458743217663
Tottenham,-0.9944135161626448
West Ham,-0.870509025532427
Wolves,-0.9541853491090572
